ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_1,835.13,20.03,6,13,13992.604623825551,3648.652254528527,614,61,4707,2570,2329,100,0,40,13,16.752
Gen_Data_100_2,838.06,20.03,8,11,12048.425992179022,3907.1513054384855,325,25,4685,2601,2315,100,0,40,11,16.415
Gen_Data_100_3,834.48,20.05,9,15,15998.386212974725,3844.7346868710483,508,67,4782,2669,2437,100,1,40,14,20.478
Gen_Data_100_4,830.45,20.03,4,20,20901.28374606617,3955.61086787518,299,44,4656,2528,2130,100,0,40,20,12.322
Gen_Data_100_5,837.39,20.03,6,14,14960.523754592396,3831.770947873114,449,6,4718,2739,2183,100,0,40,14,13.333
Gen_Data_100_6,836.13,20.04,8,15,16021.143453221524,3526.391516398913,648,83,4605,2750,2589,100,0,40,15,24.42
Gen_Data_100_7,833.84,20.04,7,12,12966.53964681862,3684.208207948108,489,40,4619,2787,2176,100,0,40,12,17.106
Gen_Data_100_8,834.72,20.03,3,16,16920.6033834077,3815.035198323759,386,34,4628,2436,1962,100,0,40,16,8.382
Gen_Data_100_9,837.11,20.04,6,15,15997.117042602345,3802.5603487041494,407,81,4644,2818,2568,100,0,40,15,20.13
Gen_Data_100_10,833.37,20.03,6,15,15993.000473740893,3883.107869757127,493,60,4808,2407,2089,100,0,40,15,12.358
