ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_20_1,164.68800000000002,20.125999999999998,0.4,2.8,2990.333360805861,1088.4336643014353,354.4,13.6,1529.0,611.8,498.8,20.0,1.0,8.0,1.8,6.3334
Gen_Data_20_2,164.76799999999997,20.146,1.2,1.2,1411.3892857142857,1125.38201875805,136.4,21.6,1357.8,593.4,487.2,20.0,0.0,8.0,1.2,8.166599999999999
Gen_Data_20_3,163.92,20.077999999999996,1.6,2.6,2777.299283154122,1159.2562002142802,289.2,4.8,1535.8,526.6,362.6,20.0,1.0,8.0,1.6,1.8094000000000001
Gen_Data_20_4,164.09,20.094,0.8,4.4,4576.422690895396,995.0100500710362,422.4,25.0,1496.4,508.4,457.8,20.0,3.0,8.0,1.4,7.1334
Gen_Data_20_5,164.526,20.104,0.8,3.6,3782.332860416894,1054.5173616821153,263.2,0.6,1403.4,548.4,412.0,20.0,0.0,8.0,3.6,6.338
Gen_Data_20_6,163.89600000000002,20.098,0.8,3.2,3390.6352502434033,960.2708977388169,264.6,7.2,1311.6,561.6,471.8,20.0,3.0,8.0,0.2,10.7142
Gen_Data_20_7,164.178,20.094,0.4,2.0,2180.0,1048.9643113434197,217.6,0.0,1359.6,390.4,202.2,20.0,0.0,8.0,2.0,0.0
Gen_Data_20_8,164.774,20.107999999999997,0.8,2.2,2390.006787330317,1149.2724019436089,200.2,25.2,1440.2,541.4,394.2,20.0,0.0,8.0,2.2,3.1428000000000003
Gen_Data_20_9,163.898,20.098000000000003,0.4,3.0,3185.0595238095234,990.3109697446846,265.2,0.0,1343.2,480.0,381.6,20.0,2.0,8.0,1.0,6.0664
Gen_Data_20_10,164.668,20.106,1.2,4.8,4985.839848569531,988.4305719751817,273.4,0.0,1484.4,413.6,348.0,20.0,3.0,8.0,1.8,9.7048
