ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_1,163.31,20.11,0,3,3182.6785612535614,1110.0958627816171,92,8,1288,646,475,20,1,8,2,4.0
Gen_Data_20_2,163.99,20.13,2,1,1199.5993154132689,1166.0475459675597,66,4,1329,573,450,20,0,8,1,2.857
Gen_Data_20_3,163.62,20.07,0,3,3171.980676328503,1057.143129816725,313,6,1454,440,331,20,1,8,2,0.0
Gen_Data_20_4,164.65,20.12,1,4,4183.268251128716,995.6532548888271,390,10,1466,533,453,20,3,8,1,8.889
Gen_Data_20_5,163.76,20.07,0,3,3185.3174603174602,1110.2244118332871,211,2,1410,529,401,20,0,8,3,3.333
Gen_Data_20_6,163.68,20.07,0,3,3193.92694963721,1171.0603016988766,202,16,1461,603,486,20,3,8,0,10.0
Gen_Data_20_7,163.71,20.09,2,0,206.67828106852494,1237.1821081653184,99,8,1438,410,263,20,0,8,0,0.0
Gen_Data_20_8,163.98,20.07,1,1,1191.843137254902,1236.675697041276,177,6,1510,517,364,20,0,8,1,0.0
Gen_Data_20_9,163.78,20.09,0,3,3170.714285714286,1086.1262846240365,329,2,1503,434,312,20,2,8,1,0.0
Gen_Data_20_10,163.11,20.06,0,5,5185.0217482111075,846.6211487826774,173,4,1456,328,317,20,3,8,2,10.667
