ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_1,10963.261999999999,20.258,0.4,111.6,116013.03126091615,16809.119623484476,4244.8,517.4,23020.4,12360.8,9770.0,500.0,0.4,200.0,111.2,11.5014
Gen_Data_500_2,11199.761999999999,20.270000000000003,0.2,118.8,123254.82947969995,16800.673486500866,4293.6,548.4,23040.8,12813.2,10652.6,500.0,4.0,200.0,114.8,13.8066
Gen_Data_500_3,11111.93,20.244000000000003,1.4,107.8,112364.64700822419,16935.281346057836,4147.8,637.4,23076.8,12743.0,11007.6,500.0,3.6,200.0,104.2,14.6124
Gen_Data_500_4,11086.786,20.268,0.6,105.4,109941.6376230686,16770.07690259545,4291.0,522.4,23061.8,12734.8,10334.6,500.0,0.6,200.0,104.8,12.5686
Gen_Data_500_5,11129.398,20.267999999999997,0.2,113.2,117601.90151505223,16616.891900035756,4369.8,527.6,22945.0,12323.2,9762.0,500.0,0.4,200.0,112.8,11.2836
Gen_Data_500_6,10816.992,20.252,1.2,121.0,125332.92393593308,16584.22783984236,4694.0,520.6,23198.2,11704.8,9299.6,500.0,6.6,200.0,114.4,10.79
Gen_Data_500_7,11030.89,20.254,1.0,103.8,108410.75765459733,16854.094037444953,4378.8,589.4,23240.0,12641.4,10681.2,500.0,1.2,200.0,102.6,14.774799999999999
Gen_Data_500_8,11347.328,20.276,0.8,110.8,115313.86675241166,16720.652185505787,4533.0,658.2,23227.4,12426.6,10464.8,500.0,2.2,200.0,108.6,13.4148
Gen_Data_500_9,11103.734,20.252,1.2,112.6,116992.08116810999,16522.78930061149,4494.8,487.0,22982.4,11884.2,9878.4,500.0,2.6,200.0,110.0,11.5164
Gen_Data_500_10,11219.114,20.266,0.4,111.4,116052.2075427559,16786.524591909038,4194.0,715.4,22955.6,12974.2,11521.2,500.0,1.4,200.0,110.0,16.8582
