ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_1,163.75,20.09,0,3,3175.223214285714,1008.6543808259198,120,0,1214,406,436,12,1,8,2,4.0
Gen_Data_20_2,164.37,20.1,0,3,3170.0,1101.8726546593355,46,0,1233,337,337,12,0,8,3,0.0
Gen_Data_20_3,163.3,20.07,0,4,4160.0,1256.9272185222117,120,0,1459,286,286,12,1,8,3,0.0
Gen_Data_20_4,163.87,20.08,0,6,6159.53488372093,875.2746103525801,192,0,1140,344,428,12,3,8,3,6.667
Gen_Data_20_5,164.87,20.14,2,3,3191.5871094200393,1017.2719240658978,297,0,1402,344,444,12,0,8,3,11.333
Gen_Data_20_6,164.3,20.13,0,3,3183.549019607843,1038.9508360659217,137,0,1265,373,441,12,3,8,0,8.571
Gen_Data_20_7,163.72,20.09,1,2,2180.0,1093.4651085606922,75,0,1262,208,208,12,0,8,2,0.0
Gen_Data_20_8,166.0,20.15,2,2,2180.0,1147.321108041736,172,0,1411,348,348,12,0,8,2,0.0
Gen_Data_20_9,163.34,20.07,0,3,3170.0,1071.4484565780126,289,0,1450,296,296,12,2,8,1,0.0
Gen_Data_20_10,164.63,20.1,0,6,6171.549525988885,842.3645247614481,98,0,1374,208,318,12,3,8,3,10.667
