ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,2409.412,20.078,4.8,59.6,62242.66344326724,9839.909122376417,2979.0,243.6,14031.4,6912.0,5257.8,300.0,0.0,120.0,59.6,9.45
Gen_Data_300_2,2409.792,20.082,3.6,62.8,65534.435267594105,10388.201433033395,2556.2,275.8,14143.4,7885.6,6914.0,300.0,0.0,120.0,62.8,15.9964
Gen_Data_300_3,2410.184,20.086,3.2,61.8,64579.27457349711,10248.544217255298,2599.0,284.0,14057.6,7861.8,6872.8,300.0,0.0,120.0,61.8,17.6144
Gen_Data_300_4,2409.13,20.078,4.8,54.2,57033.50437467884,10085.006855505648,2797.6,278.2,14135.2,7525.4,6266.4,300.0,0.2,120.0,54.0,14.449000000000002
Gen_Data_300_5,2409.6780000000003,20.082,2.2,73.0,75555.2154796527,9879.616168316992,3153.0,292.8,14174.8,7173.2,5891.8,300.0,0.0,120.0,73.0,13.3452
Gen_Data_300_6,2408.734,20.07,4.0,55.0,57770.366204715334,10150.833146494588,2552.0,260.4,13934.6,7411.2,6067.8,300.0,0.0,120.0,55.0,13.720400000000001
Gen_Data_300_7,2410.286,20.086,1.6,72.4,74936.76275011603,10122.36378410683,2754.6,242.0,14038.8,7398.4,6019.0,300.0,0.4,120.0,72.0,12.0412
Gen_Data_300_8,2409.206,20.076,4.0,67.8,70521.8289086266,10251.322962258946,2587.8,304.6,14016.0,7954.0,7196.8,300.0,0.2,120.0,67.6,18.422599999999996
Gen_Data_300_9,2410.058,20.084,2.8,59.4,62137.19344429778,10171.12943855224,2668.4,247.2,14064.4,7667.0,6451.2,300.0,0.0,120.0,59.4,15.0392
Gen_Data_300_10,2409.782,20.082,2.8,64.4,67055.3849085364,10078.804238320301,2846.4,314.0,14119.4,7327.8,5937.4,300.0,0.0,120.0,64.4,12.5988
