ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,2408.96,20.07,6,66,68604.46015813455,9638.088478049465,3241,250,14059,6860,4960,300,0,120,66,9.718
Gen_Data_300_2,2409.32,20.08,6,57,59827.984494560274,10473.82438424599,2551,238,14256,8148,7192,300,0,120,57,16.743
Gen_Data_300_3,2409.21,20.08,6,51,53794.36223469043,10490.617601245023,2234,321,13989,8157,6806,300,0,120,51,15.635
Gen_Data_300_4,2409.55,20.08,7,51,53806.85882131352,10042.272617244078,2942,280,14251,7412,5897,300,0,120,51,12.604
Gen_Data_300_5,2409.52,20.08,3,64,66713.45996503063,9743.078295920033,3133,407,14068,7626,6500,300,0,120,64,15.249
Gen_Data_300_6,2408.66,20.07,6,61,63653.10059455824,9921.841405524363,2875,219,13995,7153,5860,300,0,120,61,13.718
Gen_Data_300_7,2409.27,20.08,2,63,65634.0221697766,10080.420939303,2638,221,13924,7582,6228,300,0,120,63,14.624
Gen_Data_300_8,2408.51,20.07,2,58,60848.697868255185,10320.005878111684,2405,474,13957,8088,7547,300,1,120,57,18.741
Gen_Data_300_9,2409.47,20.08,3,59,61757.98395647142,10088.734109445079,2731,174,14049,7682,6430,300,0,120,59,16.376
Gen_Data_300_10,2410.16,20.08,3,64,66596.12769890476,10195.886405107543,2635,238,14023,6979,5621,300,0,120,64,10.686
