ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,7208.562000000001,60.072,12.4,41.6,44435.22637131463,10388.39260796264,2396.8,204.6,14093.0,7334.8,5689.8,300.0,0.0,120.0,41.6,10.5506
Gen_Data_300_2,7208.762000000001,60.072,7.0,49.0,51876.70842272208,10560.876270892513,2373.0,326.8,14203.6,8383.2,7251.0,300.0,0.0,120.0,49.0,16.4926
Gen_Data_300_3,7208.872,60.074,8.8,45.6,48549.895813386865,10436.365696002991,2224.8,328.8,13946.0,8261.2,7324.2,300.0,0.0,120.0,45.6,17.9902
Gen_Data_300_4,7208.482000000001,60.068,11.6,38.6,41530.439237464845,10526.615639308442,2250.6,172.0,14101.2,7792.4,6402.0,300.0,0.0,120.0,38.6,14.070600000000002
Gen_Data_300_5,7208.466,60.072,8.4,47.4,50228.47891625373,10631.356060704584,2235.2,188.0,14141.2,7861.0,6568.0,300.0,0.0,120.0,47.4,13.8064
Gen_Data_300_6,7208.62,60.072,8.2,44.6,47478.49877712264,10463.876933563666,2136.8,215.4,13890.4,7449.8,6211.0,300.0,0.0,120.0,44.6,14.2848
Gen_Data_300_7,7208.936,60.076,5.6,57.6,60370.12957984075,10473.07888989754,2270.2,256.8,13980.0,7802.4,6649.6,300.0,0.0,120.0,57.6,14.9852
Gen_Data_300_8,7208.861999999999,60.074,11.6,51.4,54319.03637010874,10717.831273950265,2025.2,252.4,14007.2,8357.0,7896.4,300.0,0.2,120.0,51.2,19.4302
Gen_Data_300_9,7208.722,60.072,5.2,45.8,48745.92108739847,10725.671523662297,2143.4,251.0,14158.8,8032.2,7165.4,300.0,0.0,120.0,45.8,16.5118
Gen_Data_300_10,7208.933999999999,60.076,6.0,53.0,55860.969410238904,10312.48934757176,2549.4,289.6,14113.4,7580.2,6538.8,300.0,0.0,120.0,53.0,14.863199999999997
