ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,7209.14,60.08,16,38,40857.66267413898,10623.18674742225,1986,189,13934,7469,5772,300,0,120,38,11.088
Gen_Data_300_2,7209.33,60.08,11,40,42949.47143991848,10848.854440803734,2017,352,14188,8605,7536,300,0,120,40,16.776
Gen_Data_300_3,7209.53,60.08,6,47,49951.50025966991,10238.727733444326,2271,418,13790,8226,7389,300,0,120,47,18.233
Gen_Data_300_4,7208.83,60.07,20,39,41942.84641469069,10845.349915339617,1986,78,14150,7859,6489,300,0,120,39,15.509
Gen_Data_300_5,7209.6,60.08,6,53,55793.50215017845,10049.66472841123,2740,243,14048,7428,6532,300,0,120,53,14.169
Gen_Data_300_6,7209.6,60.08,10,48,50823.30149953129,10325.303218652176,2112,222,13708,7210,6104,300,0,120,48,12.771
Gen_Data_300_7,7210.61,60.09,5,63,65743.72618278011,10250.269857495416,2518,303,13980,7858,6826,300,0,120,63,15.998
Gen_Data_300_8,7210.49,60.09,10,53,55891.41408608458,10500.582261014812,2210,272,13966,8373,7800,300,0,120,53,18.254
Gen_Data_300_9,7208.43,60.07,8,31,34092.80093678694,11046.123073779818,1832,178,14231,8361,7595,300,0,120,31,17.915
Gen_Data_300_10,7210.5,60.09,4,54,56851.39494782378,10124.880834774372,2759,264,14130,7332,6517,300,0,120,54,16.136
