ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,8623.057999999999,60.08,9.4,22.6,25606.400099972714,11153.776310624724,1537.8,171.4,14092.2,7825.2,6157.6,300.0,0.0,120.0,22.6,9.9896
Gen_Data_300_2,8556.266,60.088,8.4,26.4,29529.670711496157,11345.236318458283,1423.8,212.8,14147.4,8847.4,7940.2,300.0,0.0,120.0,26.4,18.6414
Gen_Data_300_3,8483.94,60.077999999999996,11.0,21.6,24787.18393885338,11287.401713349818,1430.0,208.6,14124.8,8755.6,7745.8,300.0,0.0,120.0,21.6,17.4998
Gen_Data_300_4,8380.652,60.076,10.4,19.8,22976.785161104646,11027.713852170073,1700.0,176.8,14144.4,8389.0,7177.0,300.0,0.0,120.0,19.8,15.341999999999999
Gen_Data_300_5,8587.66,60.08200000000001,8.6,29.4,32362.07550295165,11312.019711048019,1500.4,154.6,14176.2,8227.4,6696.0,300.0,0.0,120.0,29.4,11.6822
Gen_Data_300_6,8539.136,60.077999999999996,11.4,20.6,23750.941357127067,11270.760453332934,1291.8,174.4,13966.6,8182.6,7059.4,300.0,0.0,120.0,20.6,15.0494
Gen_Data_300_7,8510.096000000001,60.077999999999996,8.4,36.6,39571.619438633985,11278.168400702556,1433.8,208.4,14047.6,8542.8,7214.0,300.0,0.0,120.0,36.6,14.294999999999998
Gen_Data_300_8,8459.548,60.08,8.8,33.2,36328.740245635054,11309.858180772835,1284.2,203.8,13948.8,9470.2,8434.6,300.0,0.2,120.0,33.0,21.1632
Gen_Data_300_9,8569.934000000001,60.08200000000001,5.4,29.0,32121.87088375812,11182.319477812727,1589.2,269.8,14150.6,8561.4,7624.6,300.0,0.0,120.0,29.0,16.7268
Gen_Data_300_10,8521.802,60.08200000000001,9.6,29.6,32649.898625110967,11224.082590630274,1553.8,214.0,14145.2,8327.0,7113.8,300.0,0.2,120.0,29.4,14.638399999999999
