ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,9088.34,60.09,6,21,24052.230669715613,11005.640307914568,1805,246,14214,7859,6323,300,0,120,21,10.237
Gen_Data_300_2,8820.15,60.09,7,31,34053.3358331068,11233.120267029986,1679,255,14258,8501,7521,300,0,120,31,16.852
Gen_Data_300_3,8763.86,60.09,12,20,23247.86818874495,11196.671960376776,1455,283,14061,8565,7954,300,0,120,20,18.857
Gen_Data_300_4,8668.65,60.1,11,21,24197.142497534172,10787.748737300424,1958,305,14151,8470,7196,300,0,120,21,15.712
Gen_Data_300_5,8873.43,60.1,8,26,29026.716640495317,11387.685379475352,1456,170,14227,8219,6740,300,0,120,26,11.531
Gen_Data_300_6,8866.6,60.09,9,21,24154.658094586874,11134.820138975494,1440,203,13975,8235,6911,300,0,120,21,15.596
Gen_Data_300_7,8863.76,60.09,4,37,40048.51274782826,10936.705809533141,1583,286,13855,8747,7582,300,0,120,37,17.386
Gen_Data_300_8,8713.58,60.09,4,35,38172.72844441166,11152.877189249817,1373,222,13875,9409,8332,300,1,120,34,21.138
Gen_Data_300_9,8835.33,60.1,4,29,32058.72565886606,11021.307199997344,1828,246,14224,8537,7300,300,0,120,29,14.922
Gen_Data_300_10,8750.84,60.08,6,38,40915.166789041396,11076.657475015192,1835,224,14234,8283,6876,300,1,120,37,13.157
