ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,7208.008,60.068000000000005,12.6,22.2,25206.885443640058,11337.98985394637,1287.8,133.0,14029.4,7845.4,6108.8,300.0,0.0,120.0,22.2,9.866400000000002
Gen_Data_300_2,7208.512,60.07000000000001,12.6,23.8,26965.724532283995,11452.578262631814,1255.4,176.2,14098.2,9061.4,8075.6,300.0,0.0,120.0,23.8,19.2166
Gen_Data_300_3,7208.33,60.068000000000005,14.2,25.2,28329.1964829151,11331.387950510156,1243.4,153.6,13966.4,8641.8,7671.0,300.0,0.0,120.0,25.2,18.0382
Gen_Data_300_4,7208.201999999999,60.07000000000001,9.6,21.4,24561.21639368793,11274.117307021264,1435.8,178.4,14117.6,8368.2,7227.4,300.0,0.0,120.0,21.4,15.284199999999998
Gen_Data_300_5,7207.864,60.064,10.8,28.2,31192.500248397475,11459.874226433667,1271.2,124.6,14100.2,8434.4,6962.4,300.0,0.0,120.0,28.2,12.866200000000001
Gen_Data_300_6,7208.4039999999995,60.07000000000001,12.6,24.0,27086.050580142422,11253.14709951977,1255.0,125.4,13897.4,8148.0,6929.2,300.0,0.0,120.0,24.0,15.2512
Gen_Data_300_7,7208.856,60.076,12.2,32.2,35211.57616961583,11518.364219685793,1094.0,152.2,13968.0,8643.4,7346.4,300.0,0.0,120.0,32.2,15.054000000000002
Gen_Data_300_8,7208.49,60.07000000000001,11.6,29.2,32349.898093983793,11638.805565120425,983.4,167.8,13993.6,9360.0,8678.0,300.0,0.0,120.0,29.2,20.9292
Gen_Data_300_9,7208.204000000001,60.065999999999995,10.8,25.8,28905.29843189178,11398.2091062187,1263.8,133.2,14053.4,8741.6,7681.4,300.0,0.0,120.0,25.8,17.211399999999998
Gen_Data_300_10,7208.474,60.072,9.4,31.8,34814.36377796517,11369.267106658956,1371.6,100.6,14097.0,8154.8,7039.6,300.0,0.0,120.0,31.8,15.529000000000002
