ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,7209.22,60.08,11,25,27947.60175590763,11144.997576145091,1231,90,13769,7677,6057,300,0,120,25,11.233
Gen_Data_300_2,7209.13,60.08,10,26,29088.726642845435,11357.937698227748,1383,133,14128,9042,7800,300,0,120,26,16.996
Gen_Data_300_3,7208.96,60.07,12,29,32021.63227663432,11356.30644454099,1243,144,13975,8531,7333,300,0,120,29,16.293
Gen_Data_300_4,7209.12,60.08,8,21,24143.30921625484,11400.184919807278,1190,172,14002,8285,7152,300,0,120,21,15.708
Gen_Data_300_5,7208.77,60.07,13,26,29154.54741674544,11520.117461635602,1337,185,14241,8669,7684,300,0,120,26,14.557
Gen_Data_300_6,7209.53,60.08,18,22,25088.561923889545,11053.48827266874,1225,47,13672,8014,6755,300,0,120,22,17.074
Gen_Data_300_7,7210.76,60.09,11,35,38022.552796422046,11399.297033267268,1081,148,13824,8578,7127,300,0,120,35,14.622
Gen_Data_300_8,7209.78,60.08,12,27,30143.804028241382,11503.230454946157,1030,162,13912,9323,8575,300,0,120,27,20.182
Gen_Data_300_9,7209.3,60.08,13,31,34026.78265327435,11167.98953964634,1496,85,14027,8870,7435,300,0,120,31,15.705
Gen_Data_300_10,7209.43,60.08,11,25,28087.65104167883,11565.56064173126,1253,156,14205,8130,7094,300,0,120,25,15.487
