ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,8620.91,60.1,10,15,18117.528202368674,11520.359873315594,1229,116,14185,7924,6484,300,0,120,15,12.165
Gen_Data_300_2,8806.19,60.1,6,29,32116.38080829319,11491.286351684435,1171,132,14024,8450,7650,300,0,120,29,17.796
Gen_Data_300_3,8562.63,60.09,13,21,24186.867899547808,11565.51255258081,1074,140,14051,8691,7762,300,0,120,21,17.543
Gen_Data_300_4,8632.28,60.09,14,18,21130.609454008598,11414.09212900152,1310,127,14158,8547,7090,300,0,120,18,13.917
Gen_Data_300_5,8896.28,60.08,10,25,28026.156980542655,11571.58611294905,1206,146,14161,8440,6914,300,0,120,25,13.341
Gen_Data_300_6,8507.14,60.08,15,21,24088.51993557671,11238.986188501674,1268,147,13906,8365,7043,300,0,120,21,14.585
Gen_Data_300_7,8657.05,60.09,5,38,41008.88991667284,11347.136298638585,1393,175,14066,8633,7231,300,0,120,38,13.991
Gen_Data_300_8,8733.89,60.1,14,25,28123.3996385779,11785.926132856552,907,110,14081,9827,8392,300,0,120,25,18.672
Gen_Data_300_9,8716.46,60.09,10,20,23269.89959722536,11370.485356279094,1185,310,13974,8647,8154,300,0,120,20,18.501
Gen_Data_300_10,8718.77,60.1,9,26,28980.80028022982,11273.677308027127,1388,157,14048,8416,6859,300,0,120,26,12.599
