ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,7325.97,48.43,7,25,27945.917478233758,10755.01447025807,1817,115,13960,7627,5801,300,0,120,25,8.799
Gen_Data_300_2,7434.88,49.1,7,37,40142.05820378498,11180.650914038903,1625,300,14131,8412,7947,300,0,120,37,19.199
Gen_Data_300_3,7479.67,49.45,6,37,40132.93570467033,10816.389631619026,1822,267,13971,8192,7935,300,0,120,37,21.686
Gen_Data_300_4,7501.89,49.79,8,26,29118.059751957815,10797.273927166676,1995,144,14184,8398,7085,300,0,120,26,16.566
Gen_Data_300_5,7609.33,48.78,8,27,30109.063160272584,11226.249703851723,1686,362,14299,8380,7179,300,0,120,27,13.587
Gen_Data_300_6,7609.41,49.45,3,40,42921.37279791618,10854.115850812776,1822,330,13988,7822,6212,300,0,120,40,12.197
Gen_Data_300_7,7617.21,49.44,2,36,39068.84993012495,10737.46632382422,1934,251,14006,8706,7366,300,1,120,35,13.753
Gen_Data_300_8,7700.63,49.79,4,37,40108.1449815229,11272.154309656591,1620,335,14226,9377,8262,300,0,120,37,18.397
Gen_Data_300_9,7785.42,50.11,3,34,36965.93108315982,11069.796426085522,1709,243,14132,8359,7001,300,0,120,34,12.287
Gen_Data_300_10,7432.91,49.1,6,34,37035.240105965335,11059.332386772106,1823,284,14223,8362,7087,300,1,120,33,17.097
