ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,3915.9900000000002,20.093333333333334,4.666666666666667,39.666666666666664,42533.25481150885,10805.131197169268,1873.3333333333333,184.66666666666666,13994.333333333334,7385.666666666667,5733.0,300.0,0.0,120.0,39.666666666666664,9.678666666666667
Gen_Data_300_2,3896.2000000000003,20.096666666666668,1.3333333333333333,36.333333333333336,39516.490072522094,10829.816464094032,2069.0,305.3333333333333,14227.666666666666,8504.0,8206.666666666666,300.0,0.0,120.0,36.333333333333336,20.662666666666667
Gen_Data_300_3,3771.513333333333,20.093333333333334,2.6666666666666665,41.0,43998.933268403496,10996.75314942342,1839.3333333333333,269.6666666666667,14142.666666666666,8169.0,7376.333333333333,300.0,0.0,120.0,41.0,18.096
Gen_Data_300_4,3999.83,20.10333333333333,4.666666666666667,34.333333333333336,37399.32078500686,10786.811254913098,2029.6666666666667,198.33333333333334,14165.0,8136.333333333333,6863.333333333333,300.0,0.6666666666666666,120.0,33.666666666666664,14.885333333333335
Gen_Data_300_5,3992.97,20.099999999999998,1.0,41.333333333333336,44270.197621068306,11047.3078812116,1918.3333333333333,309.3333333333333,14270.666666666666,8146.0,7006.666666666667,300.0,0.3333333333333333,120.0,41.0,13.897333333333334
Gen_Data_300_6,4245.953333333334,20.113333333333333,2.6666666666666665,44.666666666666664,47577.17117359516,10867.808857609509,2068.3333333333335,230.33333333333334,14220.0,7662.333333333333,6369.666666666667,300.0,0.0,120.0,44.666666666666664,13.002
Gen_Data_300_7,3847.2999999999997,20.09,2.0,47.333333333333336,50240.32975434867,11113.093258739304,1789.6666666666667,309.3333333333333,14190.0,8626.666666666666,7216.666666666667,300.0,1.0,120.0,46.333333333333336,14.142666666666665
Gen_Data_300_8,3847.1666666666665,20.103333333333335,2.0,60.666666666666664,63547.903533690645,10778.732773292932,2165.3333333333335,344.3333333333333,14161.666666666666,8939.666666666666,7749.333333333333,300.0,1.0,120.0,59.666666666666664,18.267
Gen_Data_300_9,3939.793333333333,20.106666666666666,1.0,47.0,49982.81501474886,10849.323104920228,2161.3333333333335,367.3333333333333,14293.0,8210.666666666666,7450.666666666667,300.0,0.0,120.0,47.0,16.063
Gen_Data_300_10,3964.0433333333335,20.096666666666668,1.6666666666666667,45.666666666666664,48565.844937762806,10877.55338072286,2053.6666666666665,274.3333333333333,14224.333333333334,7923.666666666667,6544.666666666667,300.0,0.3333333333333333,120.0,45.333333333333336,12.842666666666666
