ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,3924.84,20.1,1,35,37917.756082105676,10941.616221774515,1824,129,14103,7583,6146,300,0,120,35,9.497
Gen_Data_300_2,3899.61,20.1,3,47,50020.17257411473,10979.311057739007,2013,475,14268,8323,7965,300,0,120,47,19.337
Gen_Data_300_3,3810.85,20.1,0,48,50946.30907380839,10841.901781567502,1969,389,14089,7928,7218,300,1,120,47,18.396
Gen_Data_300_4,3701.76,20.09,7,34,37008.586976603045,11207.550429117558,1649,199,14201,8260,6812,300,1,120,33,14.096
Gen_Data_300_5,3891.83,20.1,5,53,55730.02184592882,10712.802804327326,2430,204,14392,7841,6325,300,0,120,53,11.317
Gen_Data_300_6,3785.29,20.08,5,40,42943.75877076238,10928.590586883207,1726,215,13963,7736,6397,300,0,120,40,13.202
Gen_Data_300_7,3831.76,20.09,1,47,49920.05953925968,11078.38123960792,1923,220,14289,8362,6843,300,1,120,46,15.537
Gen_Data_300_8,3748.7,20.1,1,51,54077.1390643108,11034.626107155069,1789,583,14092,9349,8750,300,0,120,51,21.797
Gen_Data_300_9,3851.0,20.09,4,32,35160.753352296364,10789.524809985329,1936,213,14087,8451,7746,300,0,120,32,19.537
Gen_Data_300_10,3795.25,20.1,0,49,51861.22579126708,10685.150712829665,2373,340,14331,7938,6477,300,0,120,49,13.913
