ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_1,7427.02,20.1,19,44,48843.83761055983,19151.757006682008,1229,37,22690,9330,10561,300,0,200,44,8.898
Gen_Data_500_2,7490.14,20.11,15,73,77528.2041456672,19482.80714653374,787,10,22445,9417,10652,300,0,200,73,10.857
Gen_Data_500_3,7578.43,20.11,19,55,59658.25324763224,19415.24813359016,1265,20,22945,9629,10522,300,0,200,55,8.367
Gen_Data_500_4,7623.73,20.12,25,40,45035.88427828121,19101.968536201428,919,113,22352,9533,11407,300,0,200,40,13.615
Gen_Data_500_5,7573.95,20.11,10,59,63641.974070486605,19322.607545539497,857,30,22417,9269,10341,300,0,200,59,8.62
Gen_Data_500_6,7497.45,20.1,21,52,56770.466520609116,19173.87437680484,1306,17,22739,8990,10396,300,1,200,51,9.366
Gen_Data_500_7,7345.83,20.12,30,40,44983.30571339842,19041.933431879363,1639,50,23006,9612,11112,300,0,200,40,12.751
Gen_Data_500_8,7621.6,20.12,24,31,36117.00893977474,18965.091985221265,1682,120,23019,9929,11909,300,0,200,31,14.139
Gen_Data_500_9,7673.06,20.11,23,39,43788.16715823767,18746.90731477174,1284,25,22357,9474,10254,300,0,200,39,7.793
Gen_Data_500_10,7605.37,20.12,10,42,46978.073351190214,19335.627311195738,1044,78,22702,10206,11951,300,0,200,42,14.374
