ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_1,165.18,20.2,0,3,3189.2,1076.0002518234342,379,0,1540,551,520,20,1,8,2,8.0
Gen_Data_20_2,165.55,20.21,2,1,1210.7443181818182,1110.0234903471355,67,5,1274,616,504,20,0,8,1,13.333
Gen_Data_20_3,163.07,20.06,2,4,4165.15625,1159.2377649890427,232,3,1470,483,352,20,1,8,3,3.333
Gen_Data_20_4,165.57,20.14,1,6,6163.472868217054,1005.355415727977,459,28,1537,557,400,20,3,8,3,4.0
Gen_Data_20_5,166.25,20.19,1,4,4165.102040816327,1138.3826932514114,245,0,1466,479,352,20,0,8,4,3.333
Gen_Data_20_6,164.12,20.11,1,3,3200.043137254902,926.1396211425913,253,28,1268,588,496,20,3,8,0,10.0
Gen_Data_20_7,163.14,20.06,0,2,2180.0,1003.3054838945975,294,0,1391,310,188,20,0,8,2,0.0
Gen_Data_20_8,164.92,20.14,0,2,2189.3333333333335,1147.321108041736,207,42,1446,563,390,20,0,8,2,0.0
Gen_Data_20_9,163.11,20.06,0,3,3188.273809523809,937.6148116414076,358,0,1384,556,396,20,2,8,1,11.333
Gen_Data_20_10,165.06,20.14,1,5,5181.549525988885,938.9249250965033,169,0,1545,432,327,20,3,8,2,9.0
