ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,3936.4839999999995,20.086,4.2,63.8,66420.42503487207,9735.527079925141,3048.8,282.4,13974.6,7009.6,5282.2,300.0,0.0,120.0,63.8,10.3002
Gen_Data_300_2,3901.308,20.084,2.8,61.8,64582.95989782298,10272.279482351678,2627.6,327.6,14100.8,7984.2,7062.8,300.0,0.0,120.0,61.8,17.8178
Gen_Data_300_3,4096.508,20.1,2.4,63.8,66534.2934842802,9863.338959382974,2918.0,337.0,13978.6,7782.0,6767.0,300.0,0.0,120.0,63.8,16.776600000000002
Gen_Data_300_4,3945.208,20.086000000000002,2.8,57.6,60350.05071275968,9970.079319109209,2880.4,231.2,14081.0,7170.8,5910.6,300.0,0.0,120.0,57.6,13.2988
Gen_Data_300_5,3931.7119999999995,20.080000000000002,4.2,65.6,68254.651319634,10060.485713740545,2830.6,270.2,14075.8,7508.2,6179.2,300.0,0.0,120.0,65.6,13.959999999999999
Gen_Data_300_6,4169.0419999999995,20.095999999999997,5.2,63.6,66237.1690555007,10101.182913442015,2681.6,216.4,13977.2,7260.8,5623.2,300.0,0.0,120.0,63.6,11.447799999999999
Gen_Data_300_7,4017.406,20.094,1.6,76.0,78568.82914959171,9997.805397947668,2968.6,391.8,14110.4,7458.8,6239.4,300.0,0.0,120.0,76.0,13.885
Gen_Data_300_8,3799.79,20.084,2.8,71.8,74515.43985962072,10278.73486258413,2512.6,405.6,13955.2,7896.0,7346.2,300.0,0.2,120.0,71.6,18.7744
Gen_Data_300_9,3775.4739999999997,20.074,2.8,62.6,65333.10158696701,10225.054487633595,2711.4,321.0,14147.0,7530.0,6656.0,300.0,0.0,120.0,62.6,15.702800000000002
Gen_Data_300_10,3794.192,20.078,3.0,60.2,62914.74471016424,10067.228518337102,2802.6,279.6,14083.6,7456.2,6202.0,300.0,0.0,120.0,60.2,13.386199999999999
