ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,8332.46,60.06,12,24,26960.819287238417,11431.772726315381,1284,66,14109,7923,6134,300,0,120,24,10.346
Gen_Data_300_2,8372.28,60.06,7,36,38944.91140826072,11038.586199609193,1708,128,14084,8532,7396,300,0,120,36,15.764
Gen_Data_300_3,8195.62,60.06,11,32,35035.919644708156,11680.780236295213,1009,184,14034,8452,7582,300,0,120,32,16.498
Gen_Data_300_4,8207.05,60.07,18,12,15164.033400367174,11343.550574543404,1176,153,13978,8711,7239,300,0,120,12,15.197
Gen_Data_300_5,8348.41,60.06,12,28,30918.98796629659,11459.799830106007,1194,156,14022,8307,6619,300,0,120,28,10.874
Gen_Data_300_6,8207.21,60.07,17,17,20098.8786211552,11451.550084057706,1007,113,13884,8146,6764,300,0,120,17,12.599
Gen_Data_300_7,8281.97,60.07,7,37,39911.37314086815,11468.970038633488,1192,148,13996,8578,7178,300,0,120,37,13.118
Gen_Data_300_8,8296.56,60.07,12,26,29168.313422997977,11559.425784600546,1165,147,14106,9319,8675,300,0,120,26,19.542
Gen_Data_300_9,8264.78,60.07,9,26,29132.968912331526,11452.206884548865,1144,140,13993,8888,7908,300,0,120,26,17.364
Gen_Data_300_10,8283.6,60.08,9,31,33968.90406358931,11461.488655493009,1309,186,14128,8491,6750,300,0,120,31,12.236
