ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,8459.722,60.084,13.6,22.8,25817.057869113716,11332.819210115005,1371.4,99.0,14099.0,7719.8,6192.8,300.0,0.0,120.0,22.8,11.0448
Gen_Data_300_2,8437.104000000001,60.074,11.0,30.8,33927.97909947912,11436.156268955147,1347.2,182.6,14146.6,8713.2,8005.0,300.0,0.0,120.0,30.8,19.0454
Gen_Data_300_3,8327.332,60.076,14.6,24.2,27347.177617431975,11380.92533886318,1226.0,146.6,14001.6,8724.6,7745.8,300.0,0.0,120.0,24.2,17.681
Gen_Data_300_4,8320.91,60.076,16.8,18.4,21603.45281834559,11293.662076220053,1401.6,146.8,14125.8,8353.4,7266.2,300.0,0.0,120.0,18.4,16.941999999999997
Gen_Data_300_5,8417.086,60.081999999999994,13.4,29.0,31969.234161829285,11601.617656163877,1169.4,121.0,14136.8,8448.8,6886.0,300.0,0.0,120.0,29.0,12.907399999999999
Gen_Data_300_6,8434.186000000002,60.076,16.4,21.0,24110.632560836282,11403.694859052619,1141.0,134.8,13953.0,8257.0,6886.4,300.0,0.0,120.0,21.0,14.610800000000001
Gen_Data_300_7,8421.401999999998,60.077999999999996,11.4,36.0,38919.49565299274,11361.09010446103,1273.4,115.4,13973.0,8318.2,7104.2,300.0,0.0,120.0,36.0,13.8556
Gen_Data_300_8,8376.87,60.077999999999996,13.0,31.2,34290.265596452504,11451.593726236779,1204.2,146.0,14015.4,9023.0,8417.8,300.0,0.0,120.0,31.2,18.6374
Gen_Data_300_9,8480.557999999999,60.077999999999996,11.6,24.2,27363.87028018395,11349.907193404277,1302.4,122.6,14051.0,8829.6,7790.4,300.0,0.0,120.0,24.2,18.2726
Gen_Data_300_10,8396.53,60.076,11.4,32.0,34964.25820440196,11388.748319058672,1380.0,140.4,14121.8,8144.2,6790.6,300.0,0.0,120.0,32.0,13.0966
