ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,8585.11,60.09,14,23,26014.958268730934,11450.762085516044,1372,57,14214,7586,6220,300,0,120,23,11.468
Gen_Data_300_2,8570.89,60.08,6,37,40021.7489189544,11403.676746735078,1482,170,14218,8764,7608,300,0,120,37,16.74
Gen_Data_300_3,8318.83,60.08,11,20,23219.337131549102,11587.224225940538,999,131,14004,8789,7813,300,0,120,20,17.704
Gen_Data_300_4,8336.41,60.08,17,17,20215.36914662514,11261.579640153337,1371,191,14076,8504,7399,300,0,120,17,17.286
Gen_Data_300_5,8432.12,60.08,18,31,33956.61869927927,11483.858614637677,1320,192,14159,8430,6917,300,0,120,31,12.345
Gen_Data_300_6,8435.54,60.08,21,19,22155.331452675506,11514.641876922477,1063,197,13994,8338,6949,300,0,120,19,13.957
Gen_Data_300_7,8446.95,60.09,9,33,35924.03385944377,11426.538021498964,1166,63,13942,8638,6975,300,0,120,33,12.081
Gen_Data_300_8,8359.14,60.09,19,26,29130.761190729292,11542.186030948316,1050,113,13980,9173,8656,300,0,120,26,18.86
Gen_Data_300_9,8441.57,60.07,10,25,28115.963322950847,11403.886635490338,1273,67,14069,8699,7550,300,0,120,25,17.946
Gen_Data_300_10,8408.57,60.07,17,32,34953.94446958666,11184.436835447936,1432,111,13963,7790,6689,300,0,120,32,13.39
