ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,8715.55,60.08,7,28,30929.34855912647,11130.483872761872,1618,162,14127,7662,5773,300,0,120,28,7.403
Gen_Data_300_2,8605.93,60.09,6,29,32103.091948606754,11309.482050235225,1541,328,14218,8691,7854,300,0,120,29,18.938
Gen_Data_300_3,8545.39,60.08,8,24,27224.257808287453,11135.478813753534,1877,338,14400,8535,7950,300,0,120,24,18.34
Gen_Data_300_4,8459.07,60.07,5,18,21251.244307296565,10892.889890704111,1743,228,14058,8578,7465,300,0,120,18,15.802
Gen_Data_300_5,8718.5,60.08,6,32,34946.64506899796,11091.727310132575,1635,224,14073,8251,6674,300,0,120,32,11.278
Gen_Data_300_6,8630.64,60.08,7,25,28167.302920302856,11281.495083597849,1405,195,14068,8145,7171,300,0,120,25,16.547
Gen_Data_300_7,8599.99,60.08,8,34,36970.71572384519,11395.232277476152,1519,197,14266,8693,7072,300,0,120,34,13.61
Gen_Data_300_8,8473.54,60.07,3,42,45029.02907071575,11061.826359484405,1532,295,13905,9347,8159,300,0,120,42,20.27
Gen_Data_300_9,8524.82,60.07,2,40,43041.52500893181,10882.440855194995,1830,320,14035,8233,7325,300,0,120,40,17.392
Gen_Data_300_10,8595.53,60.08,11,26,29128.235680752532,11189.693775943724,1531,293,14108,8474,7456,300,0,120,26,17.432
