ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,8485.764,60.074,16.8,19.4,22452.14952447444,11431.402965994861,1252.2,93.6,14095.8,7970.2,6262.4,300.0,0.0,120.0,19.4,10.697999999999999
Gen_Data_300_2,8460.184,60.072,12.4,21.6,24779.22211898633,11620.232265278482,1104.4,159.8,14122.2,8969.6,8077.4,300.0,0.0,120.0,21.6,17.870799999999996
Gen_Data_300_3,8457.617999999999,60.076,13.2,25.4,28499.242003535423,11384.891921784845,1269.6,153.2,14041.2,8582.8,7521.0,300.0,0.0,120.0,25.4,17.674
Gen_Data_300_4,8286.632000000001,60.072,17.0,15.2,18389.281200626836,11253.68477798425,1500.4,103.4,14190.4,8388.6,7217.8,300.0,0.0,120.0,15.2,14.669599999999999
Gen_Data_300_5,8529.206,60.076,11.4,29.0,31958.812730458827,11559.30171453653,1208.0,123.8,14130.8,8301.6,6817.4,300.0,0.0,120.0,29.0,11.9456
Gen_Data_300_6,8510.988000000001,60.076,13.4,19.8,22917.294266355224,11489.337943601737,1110.2,99.2,14007.4,8313.4,6890.8,300.0,0.0,120.0,19.8,14.127799999999999
Gen_Data_300_7,8488.308,60.07000000000001,12.2,34.0,36967.11216232362,11596.875614333429,1118.4,171.0,14066.4,8482.8,7280.8,300.0,0.0,120.0,34.0,13.644
Gen_Data_300_8,8425.742000000002,60.077999999999996,17.8,27.4,30571.402055353064,11568.144146642697,975.8,152.8,13925.4,9320.6,8682.0,300.0,0.0,120.0,27.4,20.3818
Gen_Data_300_9,8454.746000000001,60.074,11.4,23.0,26125.958448552366,11273.838183620694,1373.4,153.8,14052.4,9061.4,7666.8,300.0,0.0,120.0,23.0,17.662799999999997
Gen_Data_300_10,8374.578,60.072,11.0,26.8,29843.653036833985,11373.007041463557,1359.2,128.2,14114.4,8590.4,7130.6,300.0,0.0,120.0,26.8,14.589400000000001
