ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,8544.52,60.08,15,20,23137.922486866897,11241.080190635617,1348,120,14006,8043,6681,300,0,120,20,14.568
Gen_Data_300_2,8593.82,60.08,10,23,26183.403098877578,11485.637145058823,1299,246,14177,8949,7899,300,0,120,23,17.493
Gen_Data_300_3,8576.05,60.08,15,25,28057.86190182826,11272.683821267889,1384,235,14047,8698,7306,300,0,120,25,14.374
Gen_Data_300_4,8461.03,60.09,20,16,19171.927746932986,11014.217740040165,1746,187,14191,8630,7354,300,0,120,16,15.512
Gen_Data_300_5,8569.78,60.08,10,35,37923.258106530884,11789.429051779742,998,63,14125,8419,6814,300,0,120,35,12.257
Gen_Data_300_6,8649.35,60.08,15,24,27099.39770440986,11228.936831817218,1370,87,13985,8164,6948,300,0,120,24,16.231
Gen_Data_300_7,8637.18,60.07,10,31,34032.33868101867,11521.318583414943,1178,167,14061,8566,7640,300,0,120,31,15.138
Gen_Data_300_8,8487.17,60.08,18,29,32147.126854647373,11571.370386646107,1031,108,13980,9354,8653,300,0,120,29,19.16
Gen_Data_300_9,8621.62,60.09,13,23,26124.6369345554,11205.649536328725,1389,196,13991,8864,7507,300,0,120,23,17.067
Gen_Data_300_10,8555.4,60.08,14,33,35957.542327979136,11261.807001152554,1481,185,14093,8792,6880,300,0,120,33,13.211
