ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,8544.656666666668,60.080000000000005,9.0,17.0,20080.87334749142,11463.875080860349,1201.3333333333333,142.66666666666666,14095.0,7864.666666666667,6335.333333333333,300.0,0.0,120.0,17.0,10.424
Gen_Data_300_2,8610.16,60.086666666666666,7.333333333333333,26.333333333333332,29415.937870742975,11637.326875045777,1116.3333333333333,144.33333333333334,14131.333333333334,8609.333333333334,7596.0,300.0,0.0,120.0,26.333333333333332,15.669666666666666
Gen_Data_300_3,8423.52,60.07666666666666,11.333333333333334,24.666666666666668,27738.50519943373,11587.86002025131,1041.3333333333333,154.66666666666666,14024.0,8526.333333333334,7455.333333333333,300.0,0.0,120.0,24.666666666666668,15.631333333333332
Gen_Data_300_4,8460.173333333334,60.080000000000005,14.0,15.333333333333334,18508.16881112849,11215.771743009123,1496.6666666666667,119.66666666666667,14156.0,8615.0,7180.0,300.0,0.0,120.0,15.333333333333334,14.407666666666666
Gen_Data_300_5,8696.143333333333,60.07666666666666,7.666666666666667,25.666666666666668,28694.01069937479,11668.089349497435,1137.6666666666667,160.66666666666666,14186.333333333334,8383.666666666666,6894.0,300.0,0.0,120.0,25.666666666666668,12.428333333333333
Gen_Data_300_6,8469.019999999999,60.07333333333333,9.666666666666666,21.0,24073.403860613602,11368.358588720143,1177.3333333333333,145.66666666666666,13944.0,8358.666666666666,6856.666666666667,300.0,0.0,120.0,21.0,13.264000000000001
Gen_Data_300_7,8494.18,60.07333333333333,7.333333333333333,32.666666666666664,35669.739001650836,11558.827306444024,1129.3333333333333,147.33333333333334,14041.0,8878.666666666666,7317.333333333333,300.0,0.0,120.0,32.666666666666664,12.916333333333332
Gen_Data_300_8,8530.480000000001,60.086666666666666,16.333333333333332,21.666666666666668,24872.76219195031,11679.826316068007,913.6666666666666,115.0,14002.333333333334,9951.0,8673.333333333334,300.0,0.0,120.0,21.666666666666668,20.139333333333337
Gen_Data_300_9,8544.523333333333,60.07666666666666,10.666666666666666,18.0,21229.258408127058,11532.510023796169,1097.6666666666667,225.66666666666666,14062.0,8769.333333333334,7897.333333333333,300.0,0.0,120.0,18.0,16.697
Gen_Data_300_10,8530.013333333334,60.083333333333336,12.0,27.666666666666668,30653.94691925192,11532.023726270048,1245.0,148.0,14152.333333333334,8414.666666666666,6942.333333333333,300.0,0.0,120.0,27.666666666666668,12.490333333333334
