ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,8672.65,60.09,6,22,25013.623468951966,11250.015647663913,1310,143,13966,7669,6107,300,0,120,22,9.81
Gen_Data_300_2,8652.93,60.1,15,24,27130.419936131046,11385.25117494874,1329,227,14103,8804,7910,300,0,120,24,17.299
Gen_Data_300_3,8601.52,60.09,12,19,22239.935135783147,11124.477146707473,1157,261,13707,8542,7835,300,0,120,19,16.436
Gen_Data_300_4,8476.65,60.09,20,15,18187.828157220487,11386.489886861971,1325,177,14146,8674,7208,300,0,120,15,16.657
Gen_Data_300_5,8738.96,60.1,10,23,26086.390385393042,11524.412630603256,1241,156,14153,8460,7200,300,0,120,23,12.096
Gen_Data_300_6,8631.78,60.1,17,19,22190.037933305055,11326.326182452212,1222,106,13958,8324,7220,300,0,120,19,15.882
Gen_Data_300_7,8648.28,60.09,4,29,31958.337555458857,11601.856830988901,1121,93,14100,8859,7097,300,0,120,29,11.384
Gen_Data_300_8,8694.9,60.09,18,21,24207.696379879344,11672.163147568372,1010,167,14090,9747,8282,300,0,120,21,18.693
Gen_Data_300_9,8617.69,60.1,11,16,19245.518632155643,11694.297592727144,952,189,14085,8861,8169,300,0,120,16,19.081
Gen_Data_300_10,8587.83,60.09,9,29,31990.41306604405,11452.407668056525,1377,157,14214,8419,6940,300,0,120,29,13.213
