ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,7224.75,48.63666666666668,9.0,27.0,29954.223912414138,11032.383611340187,1657.3333333333333,152.0,14065.666666666666,7691.0,5984.333333333333,300.0,0.0,120.0,27.0,9.735
Gen_Data_300_2,7248.786666666667,48.76,5.0,32.666666666666664,35759.01141634108,11043.145783707178,1769.3333333333333,245.0,14163.666666666666,8628.333333333334,7901.666666666667,300.0,0.0,120.0,32.666666666666664,17.369333333333334
Gen_Data_300_3,7122.593333333333,48.53,9.333333333333334,30.666666666666668,33746.89841187749,11105.452861697668,1649.3333333333333,251.33333333333334,14114.333333333334,8375.333333333334,7482.333333333333,300.0,0.0,120.0,30.666666666666668,17.959
Gen_Data_300_4,7286.113333333334,49.416666666666664,11.666666666666666,18.666666666666668,21865.122189100937,10841.709061795422,1905.6666666666667,238.33333333333334,14170.0,8545.0,7184.333333333333,300.0,0.0,120.0,18.666666666666668,16.085
Gen_Data_300_5,7197.663333333334,48.416666666666664,6.666666666666667,34.333333333333336,37306.152559973765,11251.07516403204,1628.3333333333333,238.33333333333334,14212.333333333334,8262.666666666666,6903.0,300.0,0.0,120.0,34.333333333333336,13.220666666666666
Gen_Data_300_6,7222.63,48.75666666666667,5.333333333333333,33.0,36021.75692217961,10925.4342630208,1685.0,192.33333333333334,13953.333333333334,8010.0,6790.666666666667,300.0,0.0,120.0,33.0,14.433333333333332
Gen_Data_300_7,7542.113333333334,49.656666666666666,1.0,47.0,49914.32202353667,10835.39140593667,2048.0,299.3333333333333,14164.333333333334,8428.0,6991.666666666667,300.0,0.0,120.0,47.0,14.476666666666667
Gen_Data_300_8,7241.253333333334,48.65,4.0,45.666666666666664,48659.325970988175,11032.705411252826,1671.3333333333333,292.3333333333333,13995.333333333334,9300.0,7952.0,300.0,0.3333333333333333,120.0,45.333333333333336,18.954333333333334
Gen_Data_300_9,7211.81,48.53333333333333,7.666666666666667,26.333333333333332,29497.467571473357,11306.463295358417,1512.0,277.3333333333333,14208.666666666666,8583.0,7658.333333333333,300.0,0.0,120.0,26.333333333333332,16.795333333333332
Gen_Data_300_10,7203.306666666666,48.64333333333334,4.0,37.333333333333336,40286.93197375257,10923.664627176935,1809.0,227.33333333333334,14059.333333333334,8129.333333333333,6745.333333333333,300.0,0.3333333333333333,120.0,37.0,12.863333333333335
