ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,7406.08,49.42,7,26,29012.989661674666,11027.538414783001,1647,153,14049,7751,6202,300,0,120,26,12.296
Gen_Data_300_2,7385.86,49.1,6,28,31179.791730927955,11139.715230581805,1621,263,14132,8747,8219,300,0,120,28,19.834
Gen_Data_300_3,7317.43,49.42,11,37,39976.68816285572,11010.891910953578,1763,237,14101,8339,7352,300,0,120,37,17.142
Gen_Data_300_4,7188.83,49.09,13,19,22169.835398375657,10912.445836274597,1870,264,14200,8532,7123,300,0,120,19,15.466
Gen_Data_300_5,7370.79,49.09,7,37,39879.67470020977,11370.752510825323,1537,217,14225,8323,6799,300,0,120,37,11.559
Gen_Data_300_6,7430.11,49.76,9,43,45940.851068113974,10834.641426987757,1869,193,14000,7756,6557,300,0,120,43,13.702
Gen_Data_300_7,7513.95,49.43,2,49,51944.02788949719,10715.588335427738,2107,333,14096,8405,7136,300,0,120,49,16.152
Gen_Data_300_8,7439.17,49.43,5,45,48095.69780935827,11003.930580363527,1892,468,14188,9275,8205,300,0,120,45,19.271
Gen_Data_300_9,7456.97,49.43,4,23,26251.494712733955,11311.539358891343,1511,319,14228,8611,7918,300,0,120,23,17.536
Gen_Data_300_10,7360.28,49.1,8,33,36009.93544412227,10758.916829704354,1982,177,14091,8105,6730,300,1,120,32,13.433
