ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,3849.38,20.09,3,32,34952.170865310894,10419.14432286752,2218,264,13985,7566,5957,300,0,120,32,8.766
Gen_Data_300_2,3922.32,20.1,2,48,50949.883434158815,10775.954481481604,2180,242,14227,8167,7345,300,1,120,47,16.985
Gen_Data_300_3,3752.06,20.08,4,36,39068.2020958399,10952.114211615728,1840,284,14116,8328,7624,300,0,120,36,19.775
Gen_Data_300_4,3632.11,20.09,2,39,42021.615266061315,10850.309174784174,2037,177,14214,8059,6780,300,2,120,37,15.297
Gen_Data_300_5,3892.47,20.1,2,38,41008.15188462599,11190.171879228998,1728,339,14230,8084,6955,300,0,120,38,14.256
Gen_Data_300_6,3886.68,20.1,6,37,40043.610734849746,11146.36748942508,1659,330,14134,7896,6824,300,0,120,37,12.469
Gen_Data_300_7,3955.57,20.1,0,48,50871.03371611767,11327.317140434727,1675,236,14284,8424,6754,300,1,120,47,12.59
Gen_Data_300_8,3768.79,20.1,0,51,53920.483752080196,10912.658341041482,1962,372,14134,8998,7766,300,1,120,50,18.627
Gen_Data_300_9,3816.45,20.1,2,41,43988.27861316627,11009.217787842397,1803,310,14117,8089,7094,300,1,120,40,15.015
Gen_Data_300_10,3769.45,20.09,1,34,36879.44180197655,11092.656553218436,1781,176,14226,8215,6488,300,1,120,33,10.937
