ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,3255.078,20.056,27.0,24.6,27526.04883397552,11891.092286597595,706.2,23.2,13990.6,5188.4,5906.8,180.0,0.0,120.0,24.6,8.9226
Gen_Data_300_2,3282.5860000000002,20.058,26.0,18.8,21946.181592454326,11955.090324710563,641.4,85.0,14012.6,6501.2,8015.8,180.0,0.0,120.0,18.8,16.7718
Gen_Data_300_3,3214.892,20.056,28.0,22.8,25803.46900295783,11867.022499691639,583.0,44.0,13851.2,6131.6,7213.8,180.0,0.0,120.0,22.8,13.725400000000002
Gen_Data_300_4,3146.218,20.052,31.2,12.4,15550.599833368924,11856.966083517571,745.0,40.8,14057.8,6022.6,7191.0,180.0,0.0,120.0,12.4,14.583999999999998
Gen_Data_300_5,3310.192,20.052,20.2,27.8,30699.063482548885,12027.554386637212,671.8,24.4,14072.4,5760.8,6581.8,180.0,0.0,120.0,27.8,9.8574
Gen_Data_300_6,3265.846,20.052,25.6,17.4,20464.150348699055,11964.506443377428,494.4,51.6,13881.2,5795.8,6862.2,180.0,0.0,120.0,17.4,12.7296
Gen_Data_300_7,3285.208,20.052,25.8,34.0,36883.91583897425,12084.08337557474,552.0,21.2,13988.4,5969.6,6935.8,180.0,0.0,120.0,34.0,11.267
Gen_Data_300_8,3270.958,20.058,27.0,26.6,29631.69501055809,11968.81346272492,522.4,37.0,13876.4,6725.2,8023.2,180.0,0.0,120.0,26.6,16.6932
Gen_Data_300_9,3265.924,20.054,24.0,18.6,21659.913157489784,11937.827291104262,575.8,31.8,13938.6,6306.6,7423.8,180.0,0.0,120.0,18.6,14.033200000000003
Gen_Data_300_10,3257.382,20.056,19.0,30.0,32895.10859539926,11903.16949245889,717.6,39.0,13985.2,5743.4,6626.4,180.0,0.0,120.0,30.0,10.696200000000001
