ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,3273.55,20.07,20,26,28936.98386178819,12121.247178902902,564,35,14078,5076,5840,180,0,120,26,9.074
Gen_Data_300_2,3202.18,20.06,21,24,27054.92014850561,12129.21465146035,659,83,14179,6281,7574,180,0,120,24,16.026
Gen_Data_300_3,3226.14,20.06,25,20,23086.13735230539,11827.815022773551,586,68,13834,6181,7535,180,0,120,20,15.71
Gen_Data_300_4,3100.69,20.06,33,13,16172.30321564697,11668.003817189949,811,29,13926,6016,7355,180,0,120,13,14.0
Gen_Data_300_5,3293.95,20.06,20,25,27957.39831110572,12010.34832055108,685,26,14076,5810,6662,180,0,120,25,11.013
Gen_Data_300_6,3246.98,20.06,21,13,16031.802745017356,11812.38431732123,603,74,13858,5876,6647,180,0,120,13,10.254
Gen_Data_300_7,3311.14,20.06,28,32,34880.497391060984,12064.471314837963,596,12,14020,6168,7113,180,0,120,32,11.436
Gen_Data_300_8,3296.56,20.06,29,27,30033.68732346275,12017.91928337961,502,44,13913,6776,8117,180,0,120,27,16.521
Gen_Data_300_9,3230.98,20.06,27,16,19057.291938117545,11961.806276137846,492,24,13894,6342,7362,180,0,120,16,14.962
Gen_Data_300_10,3220.48,20.06,22,23,26003.84760623786,11795.226841980239,738,62,13933,5801,6921,180,0,120,23,11.437
