ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_1,852.802,20.03,7.6,13.0,14009.101760731937,3698.2035891531973,513.8,74.2,4657.2,2622.8,2424.0,100.0,0.4,40.0,12.6,16.7618
Gen_Data_100_2,855.9119999999999,20.034,7.2,12.6,13630.192118082725,3839.3752273922246,433.0,45.2,4715.0,2472.8,2242.0,100.0,0.0,40.0,12.6,16.033800000000003
Gen_Data_100_3,853.318,20.04,6.8,15.0,15983.771799593995,3825.7624414642996,462.2,47.0,4716.8,2643.2,2255.6,100.0,1.0,40.0,14.0,17.244
Gen_Data_100_4,847.22,20.029999999999994,4.8,18.8,19750.621730169958,3785.948009738232,498.2,54.2,4693.4,2554.0,2266.0,100.0,0.0,40.0,18.8,16.8482
Gen_Data_100_5,855.344,20.03,7.8,12.2,13200.227540158987,3926.770722232284,426.2,28.6,4796.8,2804.8,2292.6,100.0,0.0,40.0,12.2,14.695000000000002
Gen_Data_100_6,855.542,20.038,5.4,16.4,17401.67339504051,3663.970184465309,622.4,77.4,4708.6,2716.2,2534.0,100.0,0.2,40.0,16.2,21.671999999999997
Gen_Data_100_7,855.6539999999999,20.032,4.8,14.4,15382.60203304065,3721.7706912021395,527.6,69.6,4683.0,2655.4,2331.8,100.0,0.0,40.0,14.4,17.724400000000003
Gen_Data_100_8,848.4200000000001,20.032,6.0,14.0,14953.805892449798,3746.382308827628,456.0,53.0,4640.0,2482.8,2027.2,100.0,0.0,40.0,14.0,10.4316
Gen_Data_100_9,852.5020000000001,20.038,5.8,15.8,16853.00484224855,3772.693555171736,482.0,114.4,4684.4,2737.6,2754.2,100.0,0.2,40.0,15.6,24.517599999999998
Gen_Data_100_10,849.9379999999999,20.038,5.8,12.8,13800.079263461917,3815.2670321309242,482.8,41.0,4742.6,2528.4,2125.8,100.0,0.2,40.0,12.6,12.9058
