ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_1,881.47,20.03,12,14,15030.444227816042,3630.8565861801635,689,104,4759,2526,2601,100,0,40,14,17.914
Gen_Data_100_2,862.81,20.03,8,11,12017.136768935734,4002.96785096609,319,33,4772,2430,2130,100,0,40,11,12.189
Gen_Data_100_3,875.86,20.03,6,16,16985.366026522122,3748.551139755742,552,40,4724,2652,2264,100,1,40,15,16.729
Gen_Data_100_4,866.77,20.04,2,17,17986.36766110147,3752.4590474273054,589,96,4762,2493,2370,100,0,40,17,18.584
Gen_Data_100_5,863.35,20.03,8,12,12951.365724915588,3840.2886027183436,487,53,4772,2773,2124,100,0,40,12,12.37
Gen_Data_100_6,867.62,20.04,5,13,14059.899662577584,3740.0044847618906,539,56,4719,2756,2578,100,0,40,13,20.799
Gen_Data_100_7,858.86,20.03,7,17,17945.48286879457,3731.6489256768864,555,36,4704,2532,2165,100,0,40,17,12.272
Gen_Data_100_8,867.81,20.05,7,16,16927.049783092192,3717.832104454552,422,40,4563,2508,1947,100,0,40,16,10.491
Gen_Data_100_9,868.74,20.05,2,17,18012.563598536435,3895.8017051517736,435,151,4754,2565,2655,100,0,40,17,20.723
Gen_Data_100_10,858.72,20.06,4,13,14033.28530847191,3702.8540014389896,546,43,4697,2441,2160,100,1,40,12,14.361
