ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,7209.995999999999,60.08399999999999,5.8,23.8,26825.557102248422,11155.256188443123,1524.0,211.6,14070.0,7761.4,6165.4,300.0,0.0,120.0,23.8,10.343
Gen_Data_300_2,7210.248,60.086,6.0,26.8,29963.681064373824,11200.607626374409,1616.4,243.4,14191.4,8761.4,8117.2,300.0,0.0,120.0,26.8,18.561
Gen_Data_300_3,7210.238,60.086,7.4,26.4,29572.412279836695,10999.023571578571,1687.4,282.4,14069.6,8471.8,7765.2,300.0,0.0,120.0,26.4,18.3236
Gen_Data_300_4,7210.024,60.081999999999994,10.0,23.4,26586.956568867376,11084.643463812658,1658.2,244.8,14146.8,8381.2,7172.4,300.0,0.4,120.0,23.0,16.1202
Gen_Data_300_5,7209.808,60.081999999999994,5.4,31.0,34050.46944246303,11177.316783257,1628.8,234.6,14156.8,8254.4,6930.0,300.0,0.0,120.0,31.0,13.837799999999998
Gen_Data_300_6,7210.07,60.084,7.2,26.8,29868.02862032665,11001.530349055862,1572.6,264.0,13953.4,8186.8,6857.0,300.0,0.0,120.0,26.8,13.818000000000001
Gen_Data_300_7,7209.764,60.081999999999994,5.0,38.6,41591.29193381891,11122.57849085965,1681.6,264.4,14130.4,8705.6,7321.6,300.0,0.0,120.0,38.6,15.757
Gen_Data_300_8,7211.012,60.089999999999996,5.4,36.2,39326.57338220578,11302.1388358679,1390.0,314.0,14028.0,9541.4,8425.4,300.0,0.0,120.0,36.2,20.0794
Gen_Data_300_9,7210.044,60.08399999999999,7.0,27.6,30748.242762332076,11132.635151547584,1620.2,260.0,14134.8,8561.2,7749.6,300.0,0.0,120.0,27.6,16.900799999999997
Gen_Data_300_10,7209.956,60.08399999999999,5.6,34.4,37398.17241789068,11068.99384311485,1724.6,252.6,14138.4,8209.4,6875.0,300.0,0.4,120.0,34.0,14.063999999999998
