ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,7210.77,60.09,7,27,29956.146654595923,11279.853076407482,1452,166,14108,7694,5979,300,0,120,27,9.365
Gen_Data_300_2,7209.31,60.08,3,25,28198.050390931592,11384.364210330701,1425,256,14198,8914,8473,300,0,120,25,18.882
Gen_Data_300_3,7209.45,60.08,11,25,28175.973269368922,10830.78829719528,1723,233,13944,8508,7781,300,0,120,25,19.561
Gen_Data_300_4,7209.6,60.08,13,25,28184.3484892419,11079.921866509052,1716,241,14185,8406,7294,300,0,120,25,16.915
Gen_Data_300_5,7209.99,60.08,3,31,34055.85405555662,11287.607989113429,1512,207,14145,8334,6889,300,0,120,31,12.601
Gen_Data_300_6,7210.65,60.09,4,23,26115.304328957125,10928.411169643017,1633,184,13958,8280,6931,300,0,120,23,13.225
Gen_Data_300_7,7210.34,60.09,6,34,37039.49565716218,11432.319955436174,1465,241,14247,8781,7549,300,0,120,34,17.801
Gen_Data_300_8,7210.89,60.09,4,42,45000.73835729686,11096.181259937597,1811,408,14220,9370,8034,300,0,120,42,18.632
Gen_Data_300_9,7210.74,60.09,4,32,35079.828225563295,11046.980149910183,1730,207,14134,8516,7500,300,0,120,32,17.298
Gen_Data_300_10,7209.37,60.08,2,35,38083.33036350402,11107.793785506672,1832,451,14271,8189,7378,300,0,120,35,16.69
