ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,8604.71,60.08,9,18,21041.581287016175,11499.658261735434,1069,134,13997,7813,6105,300,0,120,18,8.732
Gen_Data_300_2,8610.47,60.08,10,29,32007.768130070832,11803.997473502774,1013,149,14180,8569,7417,300,0,120,29,12.766
Gen_Data_300_3,8464.95,60.07,16,26,29068.259671895095,11639.441684582043,926,151,13956,8509,7544,300,0,120,26,17.125
Gen_Data_300_4,8428.58,60.08,16,9,12290.139209975143,11214.133507330844,1508,143,14194,8805,7569,300,0,120,9,15.038
Gen_Data_300_5,8786.53,60.08,3,27,30007.798259982243,11712.56882113885,1110,193,14192,8297,6616,300,0,120,27,9.769
Gen_Data_300_6,8555.54,60.07,5,23,26044.160117050298,11398.573380461523,1305,149,14083,8279,6681,300,0,120,23,11.361
Gen_Data_300_7,8476.43,60.07,6,33,35981.24034820783,11645.275270453327,1131,137,14128,8875,7292,300,0,120,33,12.559
Gen_Data_300_8,8507.58,60.09,18,16,19325.723840783154,11553.40122505402,889,92,13883,10122,9035,300,0,120,16,20.662
Gen_Data_300_9,8530.25,60.07,13,19,22204.878938749647,11753.778430253567,945,142,14122,8732,7678,300,0,120,19,14.916
Gen_Data_300_10,8543.66,60.08,13,27,30023.571163830537,11452.383934526899,1283,164,14111,8390,6965,300,0,120,27,12.788
