ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_1,2409.9299999999994,20.084,2.8,34.2,37085.76577744853,10987.02323194496,1786.2,216.2,14111.6,7565.4,5819.4,300.0,0.0,120.0,34.2,8.7848
Gen_Data_300_2,2410.9480000000003,20.092000000000002,1.0,37.0,40088.79933573284,11064.801341312132,1816.6,330.0,14206.8,8521.8,7895.2,300.0,0.0,120.0,37.0,18.2334
Gen_Data_300_3,2409.962,20.084,2.6,37.2,40257.34030195339,10858.665967646251,1840.4,273.0,14028.0,8189.6,7380.6,300.0,0.0,120.0,37.2,17.2242
Gen_Data_300_4,2410.366,20.086000000000002,6.8,30.0,33114.31915332181,10746.148244346641,2057.0,313.4,14169.6,8238.6,6927.4,300.0,0.4,120.0,29.6,14.884199999999998
Gen_Data_300_5,2410.078,20.084,2.2,36.8,39755.242173205304,11032.399032581776,1910.6,274.6,14264.0,8116.8,6803.0,300.0,0.0,120.0,36.8,12.919
Gen_Data_300_6,2409.832,20.082,4.0,35.4,38411.41591117188,10934.789406991289,1749.8,331.8,14021.4,8010.8,6841.2,300.0,0.0,120.0,35.4,14.244
Gen_Data_300_7,2410.3019999999997,20.086000000000002,1.4,47.8,50728.24705586016,10991.033449779763,2001.2,312.8,14269.8,8544.4,7198.0,300.0,0.4,120.0,47.4,15.264000000000001
Gen_Data_300_8,2411.114,20.092000000000002,1.6,49.8,52756.669942727836,10887.799091929865,1956.2,407.4,14116.4,9211.4,7950.4,300.0,0.4,120.0,49.4,17.760600000000004
Gen_Data_300_9,2410.5359999999996,20.088,2.8,39.8,42831.289421781155,10898.154308823447,1952.2,327.6,14173.8,8352.0,7508.4,300.0,0.0,120.0,39.8,16.1034
Gen_Data_300_10,2410.4939999999997,20.086000000000002,1.8,38.4,41368.889920129426,11009.086043743553,1943.2,254.4,14272.4,8113.0,6706.4,300.0,0.0,120.0,38.4,12.5586
