ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_1,2410.29,20.09,2,32,34903.593866739524,11012.31897637231,1959,188,14322,7671,6024,300,0,120,32,9.09
Gen_Data_300_2,2410.0,20.08,1,37,40129.73062909351,11354.322613631657,1623,172,14309,8486,8001,300,0,120,37,21.156
Gen_Data_300_3,2409.67,20.08,5,34,37028.2537026046,10934.082609129238,1810,187,14086,8223,7237,300,0,120,34,15.997
Gen_Data_300_4,2410.2,20.08,7,22,25238.41320095568,10853.272362231915,1938,251,14201,8490,7418,300,0,120,22,17.482
Gen_Data_300_5,2410.06,20.08,5,39,41905.24259245391,11143.250570563036,1853,237,14301,7992,6424,300,0,120,39,9.891
Gen_Data_300_6,2409.71,20.08,1,33,36034.98494634487,11167.91677705162,1714,335,14229,8049,6749,300,0,120,33,13.607
Gen_Data_300_7,2411.23,20.09,2,52,54970.300722884385,11106.934444574288,1916,469,14278,8438,7326,300,0,120,52,13.897
Gen_Data_300_8,2410.61,20.09,1,43,46058.697417478,10957.656071816633,1744,426,14007,9388,8330,300,1,120,42,18.195
Gen_Data_300_9,2412.22,20.1,1,39,42168.735615860285,10692.022635524527,2155,526,14171,8372,7889,300,0,120,39,18.145
Gen_Data_300_10,2410.42,20.09,3,30,33031.60053679324,11053.008018310022,1800,188,14211,8310,6743,300,0,120,30,11.644
