ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_20_1,164.62,20.116,0.0,3.0,3182.7355413105415,1110.0958627816171,90.0,8.4,1286.0,646.0,475.4,20.0,1.0,8.0,2.0,4.0
Gen_Data_20_2,164.862,20.113999999999997,1.8,1.0,1200.6564041578574,1136.2306151419205,86.4,9.6,1319.4,573.0,437.4,20.0,0.0,8.0,1.0,1.7713999999999999
Gen_Data_20_3,165.612,20.108000000000004,0.0,3.0,3172.3601229688193,1109.8017317733165,223.4,5.2,1416.8,440.0,330.2,20.0,1.0,8.0,2.0,0.0
Gen_Data_20_4,163.894,20.096,0.4,4.0,4183.5260584376865,984.7558979656269,431.6,13.2,1497.2,534.6,456.6,20.0,3.0,8.0,1.0,7.7416
Gen_Data_20_5,163.94199999999998,20.096,0.4,3.0,3185.3174603174602,1111.9592601308937,204.0,2.0,1405.0,529.0,401.0,20.0,0.0,8.0,3.0,3.3329999999999997
Gen_Data_20_6,165.11800000000002,20.128,0.0,3.2,3391.45631084099,1145.5531473209282,218.6,14.4,1451.2,595.6,477.0,20.0,3.0,8.0,0.2,10.0
Gen_Data_20_7,164.53199999999998,20.112000000000002,1.2,0.0,206.68000483495462,1254.5287850014097,125.8,10.0,1483.0,410.0,265.0,20.0,0.0,8.0,0.0,0.0
Gen_Data_20_8,166.216,20.119999999999997,1.0,1.0,1192.7764705882353,1228.9793482202645,164.8,7.2,1490.2,518.4,366.6,20.0,0.0,8.0,1.0,0.0
Gen_Data_20_9,163.612,20.09,0.4,3.0,3171.304761904762,1073.6020008315716,306.0,3.2,1468.4,434.0,313.2,20.0,2.0,8.0,1.0,0.0
Gen_Data_20_10,163.61599999999999,20.089999999999996,0.2,5.0,5186.6884148777735,846.6211487826774,170.6,4.8,1453.6,328.0,317.8,20.0,3.0,8.0,2.0,10.667
