ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_1,10328.29,20.23,1,96,100550.11444700602,16922.409788147528,4143,622,23100,12442,9583,500,0,200,96,8.038
Gen_Data_500_2,10185.03,20.24,0,131,135367.54486248674,16918.150672288473,4417,456,23223,12509,10418,500,5,200,126,14.454
Gen_Data_500_3,10607.18,20.23,1,112,116378.31186731029,16638.708452909745,4504,643,23119,12637,10309,500,1,200,111,11.565
Gen_Data_500_4,10403.66,20.26,1,101,105635.05002997843,16891.64839317145,4194,597,23117,12826,10378,500,0,200,101,12.075
Gen_Data_500_5,10504.11,20.24,1,100,104462.07335685959,16779.716693472437,3940,327,22740,12455,9663,500,1,200,99,10.028
Gen_Data_500_6,10318.43,20.25,1,125,129301.79129257421,16506.778894307507,4704,543,23101,11664,9179,500,6,200,119,11.246
Gen_Data_500_7,10436.41,20.22,3,90,94776.20263850369,17242.9697245999,3893,480,23220,12865,11062,500,1,200,89,16.268
Gen_Data_500_8,10607.08,20.25,1,109,113402.26034455758,16695.087827065498,4618,432,23295,12261,9898,500,2,200,107,12.211
Gen_Data_500_9,11045.08,20.22,1,116,120418.86913647018,16545.440756258682,4593,440,23081,11811,9976,500,3,200,113,12.308
Gen_Data_500_10,10772.26,20.24,0,107,111740.36319554228,17209.996841255917,3826,653,23034,13011,11557,500,1,200,106,18.45
