ScenarioName,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_1,847.472,20.036,10.0,14.0,14909.551079805766,4057.5621571253528,172.2,12.8,4666.2,1824.0,2056.0,60.0,0.0,40.0,14.0,7.672199999999999
Gen_Data_100_2,849.6699999999998,20.034,15.0,13.2,14212.95124718083,3954.3263533334148,177.2,7.8,4575.2,1673.4,2264.6,60.0,0.0,40.0,13.2,15.317599999999999
Gen_Data_100_3,843.152,20.032,7.4,18.6,19516.86129663076,4070.5284148889814,243.2,9.0,4724.8,1692.4,2012.8,60.0,0.0,40.0,18.6,12.6922
Gen_Data_100_4,845.704,20.032,8.4,20.8,21660.952274498748,3869.4847536618167,270.8,28.8,4543.0,1687.4,2006.2,60.0,0.0,40.0,20.8,8.786399999999999
Gen_Data_100_5,851.914,20.04,11.2,14.6,15561.200024388196,4075.491496024327,210.8,17.0,4721.0,1836.2,2214.0,60.0,0.0,40.0,14.6,11.9038
Gen_Data_100_6,847.7759999999998,20.034,12.0,15.8,16767.080822151132,3887.7869147334727,274.2,7.8,4589.8,1854.4,2401.6,60.0,0.0,40.0,15.8,19.6072
Gen_Data_100_7,844.29,20.03,13.8,13.0,13971.03904139642,3971.475032090614,248.6,23.2,4660.4,1903.6,2357.2,60.0,0.0,40.0,13.0,12.531199999999998
Gen_Data_100_8,848.902,20.03,13.4,14.4,15331.044519747305,3897.050525397905,210.6,10.6,4544.4,1638.0,1931.6,60.0,0.0,40.0,14.4,8.7618
Gen_Data_100_9,847.302,20.04,8.6,16.2,17191.1446114729,4009.2734766210788,260.0,12.6,4697.8,1888.8,2575.8,60.0,0.0,40.0,16.2,18.041400000000003
Gen_Data_100_10,843.24,20.036,10.0,14.0,14939.746775905285,4091.2360802456956,206.2,7.0,4731.2,1562.6,1857.4,60.0,0.0,40.0,14.0,9.509200000000002
