ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_1,846.91,20.03,9,13,13904.588058223842,4067.108401746922,144,8,4654,1854,2035,60,0,40,13,6.841
Gen_Data_100_2,852.6,20.03,13,17,17987.87440024868,3901.4976298506826,249,28,4575,1568,2192,60,0,40,17,15.351
Gen_Data_100_3,849.16,20.04,9,18,18924.793018200373,4092.1691687322336,241,0,4748,1707,1999,60,0,40,18,12.098
Gen_Data_100_4,845.62,20.03,9,21,21886.205035752922,3957.2394629815967,316,54,4677,1682,2065,60,0,40,21,9.293
Gen_Data_100_5,851.36,20.04,12,15,15955.01910296962,4077.031558632987,213,3,4722,1833,2277,60,0,40,15,12.032
Gen_Data_100_6,850.49,20.03,10,21,21885.483498110483,3942.1373939004825,268,0,4616,1742,2162,60,0,40,21,17.262
Gen_Data_100_7,855.57,20.03,14,13,13983.091704871442,3983.3897832804846,199,21,4621,1917,2416,60,0,40,13,16.502
Gen_Data_100_8,848.6,20.03,12,12,12933.681591778035,3880.685929654854,195,0,4529,1686,1950,60,0,40,12,8.961
Gen_Data_100_9,843.89,20.03,8,17,18012.431669764348,4133.374014836544,153,0,4711,1924,2675,60,0,40,17,18.757
Gen_Data_100_10,846.0,20.04,10,16,16918.676132250475,4259.541559244152,67,1,4749,1568,1883,60,0,40,16,10.791
