ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests
Gen_Data_100_1,350.46,8.76,9,16,16910.016397336167,6716.078459490394,3593,24,10747,3410,3791,60,3,40,13
Gen_Data_100_2,373.21,9.33,17,14,14995.174130881056,7228.102132460611,3051,22,10729,4074,4984,60,8,40,6
Gen_Data_100_3,362.91,9.07,18,8,9034.555194767096,7414.980931644682,2917,0,10811,4309,4992,60,4,40,4
Gen_Data_100_4,365.79,9.14,10,6,7073.97651893059,7120.62822826471,2646,0,10258,3862,4444,60,4,40,2
Gen_Data_100_5,367.21,9.18,16,16,17026.82494040754,6118.770009015931,4041,6,10601,3424,4461,60,3,40,13
Gen_Data_100_6,353.58,8.84,9,11,12085.704195573444,6669.173846258039,3521,52,10651,3850,4902,60,8,40,3
Gen_Data_100_7,355.44,8.89,13,16,16913.214706002025,6766.297797109691,3355,0,10558,3769,4223,60,8,40,8
Gen_Data_100_8,359.96,9.0,12,17,17954.321565920734,6240.083106273998,3837,23,10512,3349,4089,60,6,40,11
Gen_Data_100_9,343.85,8.6,16,12,13113.174035949618,6545.099665030624,3575,0,10588,3994,5267,60,5,40,7
Gen_Data_100_10,362.31,9.06,17,14,14963.65329777734,6656.688850808576,3249,7,10355,3718,4349,60,5,40,9
