ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_1,4.31,0.54,1,4,4187.627094660141,1327.6689499071194,719,0,2132,698,834,12,4,8,0,13.75
Gen_Data_20_2,14.08,1.76,0,3,3181.8155156587595,1723.853995385159,643,0,2461,841,933,12,0,8,3,10.417
Gen_Data_20_3,4.89,0.61,2,5,5180.617470726917,1322.3534701407941,883,0,2284,679,870,12,2,8,3,11.31
Gen_Data_20_4,4.3,0.54,1,3,3182.4839826839825,1627.1823273433522,545,0,2265,672,738,12,1,8,2,5.625
Gen_Data_20_5,4.33,0.54,4,3,3192.7451596023025,1550.255975114761,849,0,2487,747,848,12,1,8,2,9.375
Gen_Data_20_6,4.06,0.51,1,7,7134.347826086957,1306.9523100361866,1145,0,2519,592,622,12,4,8,3,3.125
Gen_Data_20_7,5.34,0.67,5,2,2188.7941677751915,1760.2162449438247,738,0,2594,903,979,12,1,8,1,8.125
Gen_Data_20_8,2.95,0.37,0,4,4171.274864376131,1292.7453628280978,677,0,2054,541,612,12,3,8,1,9.167
Gen_Data_20_9,7.11,0.89,1,3,3187.713900134953,1534.4978561192297,821,0,2447,689,778,12,2,8,1,5.0
Gen_Data_20_10,14.08,1.76,2,1,1203.5863112641935,1768.7671418345037,462,0,2329,903,966,12,0,8,1,5.357
