ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_1,4.42,0.55,1,1,1190.0,1020.5780893063718,1141,0,2620,163,163,12,0,8,1,0.0
Gen_Data_20_2,4.46,0.56,2,2,2180.0,1136.7756916018106,1094,0,2321,155,155,12,0,8,2,0.0
Gen_Data_20_3,3.18,0.4,0,4,4160.0,1105.7508880033718,838,0,2024,248,248,12,0,8,4,0.0
Gen_Data_20_4,12.6,1.58,1,1,1190.0,1238.9182045090442,737,0,2076,288,288,12,0,8,1,0.0
Gen_Data_20_5,5.59,0.7,1,1,1190.0,1210.1008665727616,808,0,2117,225,225,12,0,8,1,0.0
Gen_Data_20_6,3.55,0.44,1,5,5150.0,1014.4739217260397,1246,0,2340,189,189,12,1,8,4,0.0
Gen_Data_20_7,3.57,0.45,2,1,1202.1739130434783,1101.4235274368802,840,0,2398,294,350,12,0,8,1,3.125
Gen_Data_20_8,4.06,0.51,3,2,2180.0,980.3634023420502,942,0,2017,222,222,12,0,8,2,0.0
Gen_Data_20_9,3.79,0.47,0,2,2180.0,995.2983134301692,743,0,2195,283,283,12,1,8,1,0.0
Gen_Data_20_10,6.18,0.77,2,1,1190.0,955.4214083272814,1047,0,2460,209,209,12,0,8,1,0.0
