ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_0.5_1,362.54,8.96,9,13,13947.4041744886,4340.827532708566,1218,0,6006,1956,2272,60,4,40,9,10.798
Gen_Data_100_0.5_9,372.55,9.31,9,16,16907.54137742491,4469.21584722578,1500,0,6391,1754,1996,60,4,40,12,7.55
Gen_Data_100_0.5_3,379.68,9.49,7,12,12964.177744108727,4372.193675501552,1061,0,5880,2097,2521,60,2,40,10,12.901
Gen_Data_100_0.5_2,382.07,9.55,8,7,8012.546865492134,4804.060818762506,1075,0,6362,2002,2358,60,0,40,7,11.51
Gen_Data_100_0.5_7,385.7,9.64,12,13,13923.43684580341,4206.549600370054,1201,8,5852,1797,2040,60,5,40,8,7.832
Gen_Data_100_0.5_5,392.23,9.81,11,18,18934.637638310858,4012.775300739855,1761,0,6187,1657,2076,60,1,40,17,10.276
Gen_Data_100_0.5_4,392.27,9.81,4,13,13917.757940448906,4074.65799377164,1277,0,5796,1459,1647,60,9,40,4,6.951
Gen_Data_100_0.5_6,385.88,9.65,7,8,8991.567516989413,4031.7896243637288,1808,8,6304,1713,1998,60,5,40,3,11.266
Gen_Data_100_0.5_1,395.5,9.89,9,15,15934.629733710233,4204.877693811872,1231,0,5874,1923,2234,60,6,40,9,10.52
Gen_Data_100_0.5_8,388.87,9.72,13,15,15862.0,4317.796087352579,1372,0,6115,1548,1578,60,1,40,14,0.658
Gen_Data_100_0.5_10,396.14,9.9,11,17,17895.874010850133,3857.9816100915004,1599,0,5873,1719,2050,60,3,40,14,9.074
