ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.5_9,1191.98,9.93,2,71,73399.91292488883,10735.885512699344,4096,0,15997,4423,4785,180,8,120,63,5.438
Gen_Data_300_0.5_2,1193.34,9.94,3,64,66553.82431950216,10513.628751263232,3958,13,15685,4394,5013,180,12,120,52,9.782
Gen_Data_300_0.5_4,1196.27,9.97,3,85,87313.63013654025,10090.68632996374,4007,0,15194,4317,4897,180,14,120,71,7.877
Gen_Data_300_0.5_5,1203.1,10.03,4,72,74455.67398627322,10007.163410229332,4198,0,15363,4453,5141,180,21,120,51,9.196
Gen_Data_300_0.5_3,1205.33,10.04,7,67,69471.5231401373,10112.833667946996,4483,0,15779,4129,4684,180,11,120,56,8.325
Gen_Data_300_0.5_1,1205.98,10.05,2,68,70445.0052044971,9716.672954480004,4182,6,15070,4526,5015,180,12,120,56,7.911
Gen_Data_300_0.5_6,1205.23,10.04,1,70,72498.58349380337,10505.834724377693,3986,0,15659,5032,5802,180,19,120,51,9.815
Gen_Data_300_0.5_10,1201.56,10.01,7,65,67661.02848028504,10175.696557912957,4332,27,15696,4746,5762,180,12,120,53,11.659
Gen_Data_300_0.5_7,1208.84,10.07,4,80,82287.06075714903,10102.586436320045,4178,0,15403,4099,4456,180,22,120,58,5.525
Gen_Data_300_0.5_8,1201.91,10.02,1,85,87327.05650890729,9900.43382308019,4459,0,15447,4520,5233,180,16,120,69,10.988
