BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_0.7_1,88.67,0.8866666666666666,3.0,38.0,38686.49809516961,4536.263673930617,1412.0,0.0,6279.0,1478.0,1667.0,0.0,0.0,100.0,38.0,7.018
Gen_Data_100_0.7_2,93.24,0.93,1.0,33.0,33687.2,4666.586438509843,1361.0,0.0,6394.0,1371.0,1414.0,0.0,0.0,100.0,33.0,1.053
Gen_Data_100_0.7_3,87.07,0.8733333333333334,0.0,36.0,36671.333333333336,4501.812612993463,1536.0,0.0,6377.0,1477.0,1524.0,0.0,0.0,100.0,36.0,0.7520000000000001
Gen_Data_100_0.7_4,87.75999999999999,0.8766666666666666,0.0,34.0,34692.225640230754,4282.144033654496,1736.0,12.0,6375.0,1463.0,1584.0,0.0,0.0,100.0,34.0,5.138
Gen_Data_100_0.7_5,88.26666666666667,0.8833333333333333,0.0,34.0,34698.15838509317,4549.746185634287,1501.0,0.0,6407.0,1259.0,1349.0,0.0,0.0,100.0,34.0,2.8570000000000007
Gen_Data_100_0.7_6,82.04,0.8233333333333334,0.0,34.0,34691.881124558146,4973.810434946685,1212.0,0.0,6541.0,1577.0,1743.0,0.0,0.0,100.0,34.0,5.0
Gen_Data_100_0.7_7,87.38,0.8733333333333334,1.0,28.0,28769.92344720497,4745.976993283819,1022.0,0.0,6153.0,1312.0,1419.0,0.0,0.0,100.0,28.0,4.269
Gen_Data_100_0.7_8,91.52666666666669,0.9166666666666666,1.0,31.0,31702.690426275327,4692.819512755661,1280.0,0.0,6340.0,1532.0,1600.0,0.0,0.0,100.0,31.0,2.506
Gen_Data_100_0.7_9,86.74333333333334,0.8666666666666667,1.0,38.0,38637.142857142855,4670.888022977894,1299.0,0.0,6307.0,1302.0,1326.0,0.0,0.0,100.0,38.0,1.053
Gen_Data_100_0.7_10,91.86000000000001,0.9166666666666666,0.0,32.0,32694.283913565425,4446.4054203595815,1392.0,0.0,6204.0,1303.0,1361.0,0.0,0.0,100.0,32.0,2.105
