BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_0.7_1,84.13333333333334,0.84,0.0,39.0,39624.420634920636,4003.787036746608,1776.0,0.0,6116.0,1468.0,1492.0,0.0,0.0,100.0,39.0,1.7540000000000002
Gen_Data_100_0.7_2,85.01,0.8533333333333334,1.0,29.0,29710.0,4365.97822848769,1672.0,0.0,6435.0,1613.0,1613.0,0.0,0.0,100.0,29.0,0.0
Gen_Data_100_0.7_3,82.05333333333334,0.82,2.0,32.0,32693.3658008658,4068.420670010011,1766.0,0.0,6206.0,1432.0,1476.0,0.0,0.0,100.0,32.0,1.93
Gen_Data_100_0.7_4,88.85333333333334,0.89,1.0,28.0,28726.262626262625,4229.256735252263,1852.0,0.0,6472.0,1683.0,1713.0,0.0,0.0,100.0,28.0,2.807
Gen_Data_100_0.7_5,84.55,0.8433333333333334,2.0,26.0,26769.898550724636,4223.75299002709,1711.0,0.0,6338.0,1378.0,1440.0,0.0,0.0,100.0,26.0,1.535
Gen_Data_100_0.7_6,80.78666666666668,0.8099999999999999,3.0,33.0,33712.89532287772,4548.618158249975,1608.0,0.0,6523.0,1546.0,1678.0,0.0,0.0,100.0,33.0,3.246
Gen_Data_100_0.7_7,85.13,0.85,2.0,24.0,24798.51428571429,4063.928268556095,1764.0,0.0,6248.0,1436.0,1518.0,0.0,0.0,100.0,24.0,3.8220000000000005
Gen_Data_100_0.7_8,85.77333333333333,0.86,0.0,30.0,30704.150943396224,4189.565515855791,1822.0,0.0,6392.0,1426.0,1448.0,0.0,0.0,100.0,30.0,1.316
Gen_Data_100_0.7_9,85.29,0.8533333333333334,0.0,24.0,24793.8,4620.300570321882,1378.0,0.0,6423.0,1549.0,1605.0,0.0,0.0,100.0,24.0,1.93
Gen_Data_100_0.7_10,79.74333333333333,0.7966666666666667,0.0,29.0,29722.00613578765,4440.953882728259,1642.0,0.0,6477.0,1351.0,1401.0,0.0,0.0,100.0,29.0,1.93
