ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run2,1526.73,5.09,5,62,64489.80975353273,13527.592708856186,3435,0,18222,4927,5334,0,0,300,62,4.736
Gen_Data_300_0.7_2_Run2,1567.4,5.22,9,69,71487.76478212194,13589.348939443627,3452,5,18261,5037,5673,0,0,300,69,6.083
Gen_Data_300_0.7_3_Run2,1570.07,5.23,9,60,62520.59645157281,13504.547661204999,3307,0,18081,4862,5212,0,0,300,60,4.502
Gen_Data_300_0.7_4_Run2,1505.89,5.02,8,62,64451.29314205278,14189.939142360781,2577,0,18033,5320,5593,0,0,300,62,3.304
Gen_Data_300_0.7_5_Run2,1556.03,5.19,7,61,63529.21007170506,13495.936696239025,3653,0,18395,4700,5156,0,0,300,61,4.517
Gen_Data_300_0.7_6_Run2,1665.45,5.55,6,61,63497.336089051256,13460.06231701312,3379,0,18115,5062,5372,0,0,300,61,3.039
Gen_Data_300_0.7_7_Run2,1683.02,5.61,7,57,59605.34830102841,13084.93614764246,3567,0,17928,5064,5666,0,0,300,57,6.786
Gen_Data_300_0.7_8_Run2,1540.44,5.13,15,65,67491.53671996236,13471.338032599479,3479,0,18190,5013,5525,0,0,300,65,5.225
Gen_Data_300_0.7_9_Run2,1376.33,4.59,14,58,60551.50285912365,13930.804419843711,2908,0,18111,5110,5391,0,0,300,58,4.087
Gen_Data_300_0.7_10_Run2,1572.96,5.24,11,60,62558.02109955046,13343.467476191858,3686,1,18293,4721,5161,0,0,300,60,4.894
Gen_Data_300_0.7_11_Run2,1460.85,4.87,11,63,65454.152870963146,13651.534762493628,3201,4,18092,4843,5209,0,0,300,63,3.931
Gen_Data_300_0.7_12_Run2,1636.84,5.46,6,68,70438.54905525273,13146.99362445448,3646,0,18012,4674,4980,0,0,300,68,4.328
Gen_Data_300_0.7_13_Run2,1511.86,5.04,9,69,71403.61772858354,13500.554594049057,3140,0,17865,4883,5197,0,0,300,69,3.518
Gen_Data_300_0.7_14_Run2,1631.77,5.44,7,60,62500.28670872151,13136.597500274696,3615,0,18023,5230,5601,0,0,300,60,4.593
Gen_Data_300_0.7_15_Run2,1613.67,5.38,7,63,65560.25195313667,13929.435369157434,2835,0,18018,5229,5797,0,0,300,63,6.908
Gen_Data_300_0.7_16_Run2,1593.56,5.31,18,67,69459.36575421925,13224.710075455077,3645,6,18093,4499,4959,0,0,300,67,6.159
Gen_Data_300_0.7_17_Run2,1650.29,5.5,11,53,55575.11168555065,13197.653580412338,3770,0,18264,4877,5268,0,0,300,53,4.438
Gen_Data_300_0.7_18_Run2,1650.9,5.5,13,59,61599.185478460626,13805.421076504668,3266,0,18332,5390,6045,0,0,300,59,8.012
Gen_Data_300_0.7_19_Run2,1616.13,5.39,14,55,57576.75614869257,13535.789771200521,3413,0,18234,5022,5504,0,0,300,55,4.944
Gen_Data_300_0.7_20_Run2,1614.17,5.38,6,66,68423.7536825487,13540.417196757227,3207,0,17979,4672,4901,0,0,300,66,2.882
