ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run2,1583.57,5.28,10,53,55554.47357635216,13803.671661934426,3121,0,18261,5373,5625,0,0,300,53,3.346
Gen_Data_300_0.7_2_Run2,1744.09,5.81,9,49,51625.10644882325,13531.619486408586,3353,0,18225,5696,6067,0,0,300,49,5.227
Gen_Data_300_0.7_3_Run2,1950.39,6.5,10,58,60544.293505782516,13336.485946270304,3385,0,18023,4878,5178,0,0,300,58,3.772
Gen_Data_300_0.7_4_Run2,1735.0,5.78,11,49,51587.55225618234,13712.300791948803,3099,0,18160,5769,6045,0,0,300,49,4.289
Gen_Data_300_0.7_5_Run2,1612.66,5.38,10,53,55598.55584567782,13165.642210213073,3921,0,18390,4704,5151,0,0,300,53,3.832
Gen_Data_300_0.7_6_Run2,1794.62,5.98,8,40,42676.76312829665,13593.370729959544,3432,0,18421,5523,5784,0,0,300,40,2.478
Gen_Data_300_0.7_7_Run2,1698.01,5.66,8,54,56644.82447661014,13391.271329530902,3478,0,18184,5199,5714,0,0,300,54,5.948
Gen_Data_300_0.7_8_Run2,1855.04,6.18,13,58,60508.468857942666,13485.758178783486,3409,0,18191,5157,5443,0,0,300,58,3.971
Gen_Data_300_0.7_9_Run2,1790.59,5.97,9,52,54629.383346962044,13589.382505042642,3305,0,18210,5378,5925,0,0,300,52,5.168
Gen_Data_300_0.7_10_Run2,1821.76,6.07,11,53,55530.52895715918,13018.562176605164,3996,0,18329,4843,5027,0,0,300,53,2.291
Gen_Data_300_0.7_11_Run2,1789.26,5.96,13,46,48602.94519835837,13451.936277006873,3371,9,18186,5146,5397,0,0,300,46,3.487
Gen_Data_300_0.7_12_Run2,1764.8,5.88,14,45,47651.777770964254,13873.643957353455,3046,0,18298,5342,5683,0,0,300,45,3.558
Gen_Data_300_0.7_13_Run2,1783.46,5.94,11,58,60544.52119589009,13496.240222994502,3002,0,17802,5130,5469,0,0,300,58,4.021
Gen_Data_300_0.7_14_Run2,1787.2,5.96,11,50,52639.64997036778,13646.339212707555,3102,0,18095,5530,6016,0,0,300,50,5.64
Gen_Data_300_0.7_15_Run2,1804.28,6.01,8,49,51552.47836747431,13829.701287624193,2947,0,18125,5672,5846,0,0,300,49,2.167
Gen_Data_300_0.7_16_Run2,1694.19,5.65,10,55,57545.067853329194,13006.746152577412,4072,6,18384,4741,5030,0,0,300,55,4.36
Gen_Data_300_0.7_17_Run2,1796.81,5.99,17,42,44724.769116287556,13456.164032508797,3548,0,18383,5483,6009,0,0,300,42,5.282
Gen_Data_300_0.7_18_Run2,1849.17,6.16,9,50,52632.34081628257,13638.309726037563,3321,0,18296,5251,5637,0,0,300,50,4.077
Gen_Data_300_0.7_19_Run2,1706.5,5.69,16,52,54525.62288063964,13308.466074550352,3510,1,18145,4757,4914,0,0,300,52,2.034
Gen_Data_300_0.7_20_Run2,1529.54,5.1,5,49,51629.986911761276,13679.171924748653,3146,0,18171,5283,5494,0,0,300,49,2.471
