BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_0.7_1,80.89999999999999,0.81,3.0,38.0,38686.49809516961,4536.263673930617,1412.0,0.0,6279.0,1478.0,1667.0,0.0,0.0,100.0,38.0,7.018
Gen_Data_100_0.7_2,85.23333333333333,0.8533333333333334,1.0,34.0,34677.2,4591.572926158853,1441.0,0.0,6394.0,1347.0,1390.0,0.0,0.0,100.0,34.0,1.053
Gen_Data_100_0.7_3,80.10666666666667,0.7999999999999999,0.0,36.0,36671.333333333336,4504.211387426651,1533.0,0.0,6377.0,1477.0,1524.0,0.0,0.0,100.0,36.0,0.7520000000000001
Gen_Data_100_0.7_4,81.48,0.8166666666666668,0.0,34.0,34692.225640230754,4282.144033654496,1736.0,12.0,6375.0,1463.0,1584.0,0.0,0.0,100.0,34.0,5.138
Gen_Data_100_0.7_5,74.72666666666667,0.7466666666666667,0.0,34.0,34698.15838509317,4549.746185634287,1501.0,0.0,6407.0,1259.0,1349.0,0.0,0.0,100.0,34.0,2.8570000000000007
Gen_Data_100_0.7_6,80.78333333333332,0.8066666666666666,0.0,34.0,34691.881124558146,4869.886291695714,1316.0,0.0,6541.0,1577.0,1743.0,0.0,0.0,100.0,34.0,5.0
Gen_Data_100_0.7_7,80.21333333333334,0.8033333333333333,1.0,28.0,28769.92344720497,4691.039317570622,1077.0,0.0,6153.0,1265.0,1372.0,0.0,0.0,100.0,28.0,4.269
Gen_Data_100_0.7_8,83.63333333333334,0.8333333333333334,1.0,31.0,31702.690426275327,4692.819512755661,1280.0,0.0,6340.0,1532.0,1600.0,0.0,0.0,100.0,31.0,2.506
Gen_Data_100_0.7_9,75.3,0.7533333333333333,1.0,38.0,38637.142857142855,4670.888022977894,1299.0,0.0,6307.0,1302.0,1326.0,0.0,0.0,100.0,38.0,1.053
Gen_Data_100_0.7_10,75.58333333333333,0.7533333333333333,0.0,32.0,32694.283913565425,4446.4054203595815,1392.0,0.0,6204.0,1303.0,1361.0,0.0,0.0,100.0,32.0,2.105
