BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_0.7_1,1004.2966666666667,3.3466666666666662,11.0,41.0,43767.96257872687,14497.204533427714,3179.0,0.0,19059.0,5606.0,6095.0,0.0,0.0,300.0,41.0,5.597
Gen_Data_300_0.7_2,904.6999999999999,3.016666666666666,8.0,49.0,51595.54627981684,14117.193295587827,3424.0,0.0,18883.0,5397.0,5715.0,0.0,0.0,300.0,49.0,3.73
Gen_Data_300_0.7_3,902.0,3.0066666666666664,6.0,30.0,32857.803446535094,14469.693757586618,3508.0,0.0,19406.0,5906.0,6349.0,0.0,0.0,300.0,30.0,4.141
Gen_Data_300_0.7_4,914.3133333333334,3.046666666666667,13.0,42.0,44769.093853583676,14364.019583307187,3336.0,0.0,19086.0,5498.0,6061.0,0.0,0.0,300.0,42.0,5.055
Gen_Data_300_0.7_5,1000.56,3.3333333333333335,13.0,46.0,48688.20823686453,13946.90753360987,3710.0,0.0,19008.0,5405.0,5770.0,0.0,0.0,300.0,46.0,3.4090000000000003
Gen_Data_300_0.7_6,916.9866666666667,3.0566666666666666,8.0,48.0,50611.16014349422,14544.26654922672,3121.0,0.0,19014.0,5798.0,6056.0,0.0,0.0,300.0,48.0,3.355
Gen_Data_300_0.7_7,895.0066666666668,2.983333333333333,9.0,46.0,48619.443022468746,14650.388850278192,2795.0,0.0,18809.0,5712.0,5947.0,0.0,0.0,300.0,46.0,2.423
Gen_Data_300_0.7_8,926.4966666666666,3.09,7.0,50.0,52634.26437758925,14232.012145875771,3125.0,8.0,18706.0,5701.0,6149.0,0.0,0.0,300.0,50.0,4.275
Gen_Data_300_0.7_9,965.7433333333333,3.22,12.0,33.0,35784.86653333132,13610.056591203116,3979.0,2.0,19018.0,5152.0,5543.0,0.0,0.0,300.0,33.0,4.511
Gen_Data_300_0.7_10,924.34,3.0799999999999996,5.0,46.0,48623.094247736764,14228.631670146233,3752.0,2.0,19344.0,5856.0,6128.0,0.0,0.0,300.0,46.0,3.949
