ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run1,1056.58,3.52,11,41,43767.96257872687,14497.204533427714,3179,0,19059,5606,6095,0,0,300,41,5.597
Gen_Data_300_0.7_2_Run1,954.64,3.18,8,49,51595.54627981684,14117.193295587827,3424,0,18883,5397,5715,0,0,300,49,3.73
Gen_Data_300_0.7_3_Run1,952.47,3.17,6,30,32857.803446535094,14469.693757586618,3508,0,19406,5906,6349,0,0,300,30,4.141
Gen_Data_300_0.7_4_Run1,981.02,3.27,13,42,44769.093853583676,14364.019583307187,3336,0,19086,5498,6061,0,0,300,42,5.055
Gen_Data_300_0.7_5_Run1,1044.33,3.48,13,46,48688.20823686453,13946.907533609872,3710,0,19008,5405,5770,0,0,300,46,3.409
Gen_Data_300_0.7_6_Run1,982.72,3.28,8,48,50611.16014349422,14544.26654922672,3121,0,19014,5798,6056,0,0,300,48,3.355
Gen_Data_300_0.7_7_Run1,932.72,3.11,9,46,48619.44302246875,14650.388850278192,2795,0,18809,5712,5947,0,0,300,46,2.423
Gen_Data_300_0.7_8_Run1,978.11,3.26,7,50,52634.26437758925,14232.012145875771,3125,8,18706,5701,6149,0,0,300,50,4.275
Gen_Data_300_0.7_9_Run1,1034.01,3.45,12,33,35784.86653333132,13610.056591203116,3979,2,19018,5152,5543,0,0,300,33,4.511
Gen_Data_300_0.7_10_Run1,978.71,3.26,5,46,48623.094247736764,14228.631670146233,3752,2,19344,5856,6128,0,0,300,46,3.949
