BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_0.7_1,1579.1366666666665,5.266666666666667,7.666666666666667,64.0,66484.51238368778,13675.403511998122,3341.0,0.0,18266.0,4913.333333333333,5348.333333333333,0.0,0.0,300.0,64.0,4.9206666666666665
Gen_Data_300_0.7_2,1577.1666666666667,5.256666666666667,10.666666666666666,69.0,71496.07709607476,13571.276442629887,3448.0,1.6666666666666667,18241.666666666668,5015.666666666667,5664.333333333333,0.0,0.0,300.0,69.0,6.626666666666666
Gen_Data_300_0.7_3,1648.3166666666666,5.493333333333333,9.666666666666666,61.0,63516.339180900155,13616.74829901365,3216.3333333333335,0.6666666666666666,18097.666666666668,4785.666666666667,5086.666666666667,0.0,0.0,300.0,61.0,3.723333333333333
Gen_Data_300_0.7_4,1602.5566666666666,5.34,6.0,62.333333333333336,64775.25722679953,14079.08302065576,2679.3333333333335,0.0,18022.0,5347.666666666667,5586.666666666667,0.0,0.0,300.0,62.333333333333336,3.220333333333333
Gen_Data_300_0.7_5,1549.78,5.166666666666667,10.0,63.0,65509.7766684106,13329.259427231073,3841.6666666666665,0.0,18408.333333333332,4691.333333333333,5138.333333333333,0.0,0.0,300.0,63.0,4.766666666666667
Gen_Data_300_0.7_6,1669.3100000000002,5.563333333333333,6.333333333333333,61.0,63495.9604771079,13638.139134876756,3241.0,0.0,18155.333333333332,5061.333333333333,5367.666666666667,0.0,0.0,300.0,61.0,3.2166666666666663
Gen_Data_300_0.7_7,1683.1899999999998,5.61,7.333333333333333,58.0,60593.91538932341,13085.763617977078,3614.0,0.0,17971.0,5022.0,5580.0,0.0,0.0,300.0,58.0,6.2010000000000005
Gen_Data_300_0.7_8,1652.89,5.510000000000001,13.666666666666666,65.33333333333333,67822.76237025273,13292.624455206016,3639.6666666666665,0.0,18165.333333333332,5038.666666666667,5513.666666666667,0.0,0.0,300.0,65.33333333333333,5.186333333333334
Gen_Data_300_0.7_9,1631.4799999999998,5.44,12.333333333333334,57.333333333333336,59894.01885013695,13966.238149275416,2874.3333333333335,0.0,18111.333333333332,5214.666666666667,5561.333333333333,0.0,0.0,300.0,57.333333333333336,4.751
Gen_Data_300_0.7_10,1646.2866666666669,5.486666666666667,10.333333333333334,59.333333333333336,61860.33325934443,13413.053333311975,3630.6666666666665,0.6666666666666666,18312.0,4743.0,5143.333333333333,0.0,0.0,300.0,59.333333333333336,4.288
Gen_Data_300_0.7_11,1622.2766666666666,5.409999999999999,12.0,61.0,63501.6174984882,13572.414057220567,3244.0,1.3333333333333333,18068.666666666668,4895.666666666667,5284.333333333333,0.0,0.0,300.0,61.0,4.456666666666667
Gen_Data_300_0.7_12,1615.3466666666666,5.386666666666667,7.333333333333333,66.0,68444.83668409724,13178.094502532787,3602.6666666666665,0.0,18013.666666666668,4654.333333333333,4918.333333333333,0.0,0.0,300.0,66.0,3.5760000000000005
Gen_Data_300_0.7_13,1504.3833333333332,5.016666666666667,8.666666666666666,69.33333333333333,71733.61772858354,13468.358963668254,3173.3333333333335,0.0,17864.0,4873.0,5187.0,0.0,0.0,300.0,69.33333333333333,3.5179999999999993
Gen_Data_300_0.7_14,1634.1533333333334,5.446666666666666,7.333333333333333,63.333333333333336,65808.93274071842,13133.017829330265,3620.6666666666665,0.0,18004.0,5044.666666666667,5416.666666666667,0.0,0.0,300.0,63.333333333333336,5.0776666666666666
Gen_Data_300_0.7_15,1582.6200000000001,5.276666666666666,7.0,63.0,65560.25195313667,13929.435369157434,2835.0,0.0,18018.0,5229.0,5797.0,0.0,0.0,300.0,63.0,6.908
Gen_Data_300_0.7_16,1587.7,5.293333333333333,16.666666666666668,65.0,67483.52936970805,13052.342011864364,3737.3333333333335,4.666666666666667,18023.333333333332,4532.333333333333,4967.333333333333,0.0,0.0,300.0,65.0,6.082999999999999
Gen_Data_300_0.7_17,1626.3133333333333,5.420000000000001,12.666666666666666,52.666666666666664,55294.93328926427,13324.38136341109,3686.3333333333335,0.0,18306.666666666668,4955.666666666667,5442.666666666667,0.0,0.0,300.0,52.666666666666664,5.562666666666666
Gen_Data_300_0.7_18,1624.4766666666667,5.416666666666667,12.0,58.0,60653.070609865536,13768.424894403666,3334.3333333333335,0.0,18366.0,5343.333333333333,6020.0,0.0,0.0,300.0,58.0,7.952333333333333
Gen_Data_300_0.7_19,1651.6933333333334,5.506666666666667,13.0,54.333333333333336,56927.62413958434,13496.307424415247,3449.0,0.6666666666666666,18232.333333333332,4960.0,5458.0,0.0,0.0,300.0,54.333333333333336,5.039666666666666
Gen_Data_300_0.7_20,1614.57,5.38,6.333333333333333,64.66666666666667,67104.92951896515,13622.109375671587,3116.6666666666665,0.0,17979.0,4764.0,4990.333333333333,0.0,0.0,300.0,64.66666666666667,3.004
