BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_0.7_1,91.09999999999998,0.91,0.0,43.0,43624.231410182314,4786.0733341693385,1143.0,2.0,6254.0,1264.0,1374.0,0.0,0.0,100.0,43.0,5.877
Gen_Data_100_0.7_2,93.23333333333333,0.9333333333333335,3.0,41.0,41601.02564102564,4967.0709217960575,1159.0,0.0,6463.0,1094.0,1137.0,0.0,0.0,100.0,41.0,0.8770000000000001
Gen_Data_100_0.7_3,91.49000000000001,0.9166666666666666,3.0,40.0,40623.89855072464,4864.074029298456,1183.0,0.0,6384.0,1291.0,1354.0,0.0,0.0,100.0,40.0,2.256
Gen_Data_100_0.7_4,92.77333333333333,0.9266666666666667,3.0,41.0,41610.46074879227,4878.70554460127,1176.0,0.0,6385.0,1382.0,1469.0,0.0,0.0,100.0,41.0,5.439
Gen_Data_100_0.7_5,89.78333333333335,0.9,4.0,36.0,36711.98020947509,4751.395758195249,1196.0,0.0,6314.0,1265.0,1459.0,0.0,0.0,100.0,36.0,5.395
Gen_Data_100_0.7_6,91.5,0.9133333333333334,2.0,45.0,45566.593624240515,5004.4911819043355,1179.0,0.0,6500.0,1261.0,1336.0,0.0,0.0,100.0,45.0,3.6839999999999997
Gen_Data_100_0.7_7,88.88666666666667,0.89,0.0,37.0,37636.36363636364,4562.37096100587,1412.0,0.0,6331.0,1088.0,1102.0,0.0,0.0,100.0,37.0,1.053
Gen_Data_100_0.7_8,93.54,0.9333333333333332,1.0,39.0,39616.753607103215,4876.357817808155,1175.0,0.0,6396.0,1295.0,1333.0,0.0,0.0,100.0,39.0,3.158
Gen_Data_100_0.7_9,89.97333333333331,0.9,1.0,47.0,47540.278840896666,4785.778785634884,1330.0,0.0,6420.0,1147.0,1195.0,0.0,0.0,100.0,47.0,2.368
Gen_Data_100_0.7_10,86.60333333333334,0.8666666666666667,0.0,47.0,47530.0,4581.1939555819,1531.0,0.0,6425.0,898.0,898.0,0.0,0.0,100.0,47.0,0.0
