ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run1,1201.29,0.0,0,2,5281.9469408162,14804.152533529374,593,45,16910,6495,7530,0,2,300,0,10.864
Gen_Data_300_0.7_2_Run1,1200.77,0.0,0,3,6358.537589035728,15012.259038192848,638,87,17154,6691,8172,0,3,300,0,14.443
Gen_Data_300_0.7_3_Run1,1200.7,0.0,0,0,3204.109235685425,14636.585618778669,747,49,16903,6607,7430,0,0,300,0,10.107
Gen_Data_300_0.7_4_Run1,1201.3,0.0,0,1,4426.08738412292,14722.377722428477,647,57,16893,6354,7979,0,1,300,0,14.557
Gen_Data_300_0.7_5_Run1,1201.55,0.0,0,7,10239.561245270383,14574.955147847844,636,61,16703,6642,7769,0,7,300,0,13.405
Gen_Data_300_0.7_6_Run1,1200.78,0.0,0,2,5174.641373321487,15126.614794885912,602,33,17236,6779,7547,0,2,300,0,9.559
Gen_Data_300_0.7_7_Run1,1200.68,0.0,0,1,4343.550203939496,15119.032850096712,611,173,17261,6771,8416,0,1,300,0,14.29
Gen_Data_300_0.7_8_Run1,1201.28,0.0,0,2,5379.06585276761,15026.489305531582,671,60,17229,6818,8274,0,2,300,0,14.641
Gen_Data_300_0.7_9_Run1,1091.35,0.0,0,1,4252.882664168348,14463.430875808805,634,69,16614,5831,6939,0,1,300,0,9.97
Gen_Data_300_0.7_10_Run1,1011.32,0.0,0,1,4276.171325037831,15034.107138752679,613,85,17156,6981,8315,0,1,300,0,13.266
