ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run1,990.16,3.3,22,40,42753.381272340805,14714.105447218146,2893,0,19001,5633,6146,0,0,300,40,4.564
Gen_Data_300_0.7_2_Run1,971.75,3.24,13,54,56620.60719722911,14269.82894704115,3404,0,18978,5260,5720,0,0,300,54,4.76
Gen_Data_300_0.7_3_Run1,946.87,3.16,7,39,41686.343549514866,14411.422029583366,3430,0,19231,5794,6034,0,0,300,39,3.006
Gen_Data_300_0.7_4_Run1,912.63,3.04,7,42,44751.00347214974,14481.694708796555,3246,0,19119,5473,5841,0,0,300,42,4.327
Gen_Data_300_0.7_5_Run1,1090.96,3.64,6,54,56602.33260943291,13928.93735482824,3930,0,19173,5255,5664,0,0,300,54,4.769
Gen_Data_300_0.7_6_Run1,979.53,3.27,7,48,50602.14178255478,14386.970185594357,3339,0,19071,5730,5973,0,0,300,48,3.308
Gen_Data_300_0.7_7_Run1,949.61,3.17,9,51,53568.4701424081,14476.682139385603,3128,0,18950,5454,5651,0,0,300,51,2.349
Gen_Data_300_0.7_8_Run1,943.95,3.15,9,49,51687.49649849404,14391.036269385686,2960,8,18706,5719,6332,0,0,300,49,6.448
Gen_Data_300_0.7_9_Run1,959.95,3.2,8,38,40721.80600053571,13499.976020390122,4311,4,19214,5071,5389,0,0,300,38,4.585
Gen_Data_300_0.7_10_Run1,995.96,3.32,7,45,47630.358252984835,14109.010953168807,3861,0,19344,5765,6010,0,0,300,45,3.654
