BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_0.7_1,996.66,3.323333333333333,16.0,52.0,54589.52715965038,14609.886901695383,3159.0,0.0,19080.0,5452.0,5837.0,0.0,0.0,300.0,52.0,5.327
Gen_Data_300_0.7_2,872.8366666666667,2.9066666666666667,11.0,64.0,66501.3746327027,14359.50048422169,3220.0,0.0,18823.0,5053.0,5521.0,0.0,0.0,300.0,64.0,5.295
Gen_Data_300_0.7_3,881.0033333333334,2.936666666666666,10.0,48.0,50623.86870069886,14772.893950642372,3056.0,0.0,19156.0,5514.0,5839.0,0.0,0.0,300.0,48.0,4.215
Gen_Data_300_0.7_4,886.9266666666667,2.9599999999999995,7.0,48.0,50637.70294234044,14604.060003252373,3133.0,0.0,19072.0,5387.0,5812.0,0.0,0.0,300.0,48.0,4.199
Gen_Data_300_0.7_5,1081.3300000000002,3.603333333333333,7.0,61.0,63500.17036665351,14010.720488086858,3902.0,0.0,19178.0,5097.0,5410.0,0.0,0.0,300.0,61.0,4.426
Gen_Data_300_0.7_6,955.5866666666667,3.186666666666667,15.0,53.0,55609.62032683634,14826.904170797658,3038.0,0.0,19165.0,5514.0,5900.0,0.0,0.0,300.0,53.0,5.657
Gen_Data_300_0.7_7,903.6733333333333,3.01,11.0,61.0,63524.066346243715,14557.453025490859,3075.0,0.0,18888.0,5599.0,6070.0,0.0,0.0,300.0,61.0,4.896
Gen_Data_300_0.7_8,893.66,2.9800000000000004,8.0,58.0,60512.618528524436,14659.66184532728,3006.0,0.0,18935.0,5413.0,5700.0,0.0,0.0,300.0,58.0,3.596
Gen_Data_300_0.7_9,942.0999999999999,3.14,8.0,47.0,49617.223212153396,13757.09674998241,3931.0,0.0,19023.0,4835.0,5123.0,0.0,0.0,300.0,47.0,4.186
Gen_Data_300_0.7_10,843.6,2.81,14.0,54.0,56553.95868486036,14550.14328809922,3327.0,0.0,19186.0,5656.0,5980.0,0.0,0.0,300.0,54.0,3.829
