BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_0.7_1,1200.93,0.0,0.0,2.6666666666666665,6010.141703387001,14640.794747690225,539.0,58.0,16693.333333333332,6495.0,7737.666666666667,0.0,2.6666666666666665,300.0,0.0,12.360999999999999
Gen_Data_300_0.7_2,1200.8066666666666,0.0,0.0,3.6666666666666665,7004.317294575936,14744.33640197127,673.6666666666666,82.0,16919.0,6691.0,8070.0,0.0,3.6666666666666665,300.0,0.0,14.103666666666667
Gen_Data_300_0.7_3,1200.97,0.0,0.0,0.0,3229.1596679089394,14703.077304932347,679.3333333333334,33.666666666666664,16901.0,6607.0,7556.0,0.0,0.0,300.0,0.0,10.412
Gen_Data_300_0.7_4,1201.1066666666666,0.0,0.0,1.0,4331.716458006317,14856.825901222472,627.6666666666666,75.0,17010.0,6354.0,7674.333333333333,0.0,1.0,300.0,0.0,11.998333333333333
Gen_Data_300_0.7_5,1176.0800000000002,0.0,0.0,5.333333333333333,8680.151599681718,14575.887384407883,613.0,57.0,16691.0,6642.0,8140.0,0.0,5.333333333333333,300.0,0.0,15.059333333333335
Gen_Data_300_0.7_6,1200.7299999999998,0.0,0.0,2.6666666666666665,5838.838190662798,15038.803172776921,574.6666666666666,46.333333333333336,17115.666666666668,6779.0,7583.333333333333,0.0,2.6666666666666665,300.0,0.0,9.537666666666667
Gen_Data_300_0.7_7,1200.8833333333334,0.0,0.0,0.3333333333333333,3684.9751540635043,14962.280153343652,673.6666666666666,146.66666666666666,17167.0,6771.0,8435.666666666666,0.0,0.3333333333333333,300.0,0.0,13.382666666666665
Gen_Data_300_0.7_8,1200.95,0.0,0.0,1.6666666666666667,5008.374630490697,14974.33381362995,679.0,60.666666666666664,17177.0,6818.0,8209.0,0.0,1.6666666666666667,300.0,0.0,13.860333333333335
Gen_Data_300_0.7_9,1164.42,0.0,0.0,0.3333333333333333,3590.5003602902993,14289.733902188564,687.3333333333334,53.0,16495.666666666668,5831.0,6857.0,0.0,0.3333333333333333,300.0,0.0,10.351
Gen_Data_300_0.7_10,1076.3933333333334,0.0,0.0,0.3333333333333333,3573.1815196010543,15022.036749300221,627.6666666666666,77.0,17169.333333333332,6981.0,8124.333333333333,0.0,0.3333333333333333,300.0,0.0,12.376
