ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run1,3344.32,6.69,17,56,60550.72767823962,23632.080737069366,4496,0,30453,9388,9841,0,0,500,56,3.636
Gen_Data_500_0.7_2_Run1,3535.61,7.07,18,67,71676.0864353824,24486.05048333307,4158,3,30886,9816,10999,0,0,500,67,7.322
Gen_Data_500_0.7_3_Run1,3439.61,6.88,21,47,51699.71084534439,23484.041881228593,5426,1,31265,9471,10054,0,0,500,47,4.302
Gen_Data_500_0.7_4_Run1,2987.34,5.97,11,49,53569.565974146506,23493.505217819475,5081,0,30923,9363,9577,0,0,500,49,1.942
Gen_Data_500_0.7_5_Run1,4264.59,8.53,16,47,51726.68265633622,23072.394498527963,5201,0,30632,9251,9850,0,0,500,47,4.095
Gen_Data_500_0.7_6_Run1,4724.8,9.45,15,53,57643.46241801788,22812.852562477212,5413,9,30553,9318,9830,0,0,500,53,4.009
Gen_Data_500_0.7_7_Run1,3795.35,7.59,22,65,69472.36595871765,23354.082522917302,5287,0,30913,9326,9759,0,0,500,65,2.91
Gen_Data_500_0.7_8_Run1,3263.51,6.53,20,60,64601.02219020986,23862.728194649208,4530,0,30678,9730,10362,0,0,500,60,4.234
Gen_Data_500_0.7_9_Run1,2986.1,5.97,24,68,72438.12328720439,23389.493906159125,5197,0,30841,9132,9557,0,0,500,68,3.418
Gen_Data_500_0.7_10_Run1,4563.01,9.13,30,55,59666.627368049936,23357.631974940243,5262,0,30949,9661,10379,0,0,500,55,4.897
