ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run1,3318.71,6.64,13,54,58574.47758144219,23485.003237116063,4706,0,30515,9481,9820,0,0,500,54,2.76
Gen_Data_500_0.7_2_Run1,3041.67,6.08,12,68,72492.7454626219,23797.408756310964,4521,0,30574,9514,10172,0,0,500,68,5.016
Gen_Data_500_0.7_3_Run1,2934.24,5.87,18,54,58603.741255811445,22937.856359727582,5713,0,30977,9151,9595,0,0,500,54,3.229
Gen_Data_500_0.7_4_Run1,2747.63,5.5,16,50,54624.61214360804,23872.41353212513,4668,0,30899,9336,9725,0,0,500,50,2.94
Gen_Data_500_0.7_5_Run1,4202.33,8.4,21,44,48701.352346842534,23040.723288925947,5469,0,30882,9321,9753,0,0,500,44,3.48
Gen_Data_500_0.7_6_Run1,3828.98,7.66,19,57,61639.81365327613,23089.548320722395,5285,0,30664,9349,9966,0,0,500,57,4.966
Gen_Data_500_0.7_7_Run1,3843.99,7.69,27,55,59664.47004650119,23650.031719738152,4904,0,30875,9613,10234,0,0,500,55,5.675
Gen_Data_500_0.7_8_Run1,3373.14,6.75,27,58,62598.8619434634,23625.371907530178,4794,0,30706,9817,10465,0,0,500,58,4.226
Gen_Data_500_0.7_9_Run1,3019.6,6.04,16,62,66568.76098305236,23243.44973152115,5157,5,30677,9239,9846,0,0,500,62,4.076
Gen_Data_500_0.7_10_Run1,4091.21,8.18,18,52,56670.86623128826,23503.14060569733,5032,0,30874,9642,10271,0,0,500,52,4.397
